stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,37.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.26,0,0,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,16.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,0,0,0,3.12,0,0,0,13.25,0,0,0,0,0,0,0
 14-21,0,0,3.28,1.82,10.33,8.73,0,2.21,0,0,0,1.9,1.2,0,0,0,0,0,0,0,68.89,0,0,13.66,69.91,4.96,0,0,0,0,1.39,0.91,28.59,0,36.25,0,0,15.29,0,1.14
 24-34,0,0,6.16,2.62,8.18,0.62,0,5.74,0,1.6,0,2.38,3.1,0,20.87,0,0.6,0,0,0,28.37,0,0,7.94,48.55,0,2.67,0,0,0,25.48,0,3.64,0,45.58,0,0,113.98,0,5.6
 36-46,0,0,1.47,0,1.48,0,0,48.13,0,1.63,0,1.72,0,0,73.55,0,0,0,0,0,22.55,0,0.89,0,34.48,0,0.59,0,0,0,6.18,0,0.62,0,20.5,0,0,38.75,0.78,10.82
 48-58,0,0,1,0,12.58,0,0,161.84,0.76,9.39,0,14.35,0,0,15.19,0,0.58,0,2.43,0,13.99,0,2.12,1.09,92.15,0,2.62,3.07,0,1.94,2.86,0,2.06,0,39.76,0,0,67.09,0,0
 60-70,0,0,0,0,3.18,0,0,415.1,0,11.54,0,29.13,0.65,0,4.26,0.82,0,0,5.13,0,40.77,0,1.92,0.93,135.69,0,2.55,5.5,0,2.56,0,0,1.24,0,41.18,0,3.43,81.93,2.35,0
 72-82,0,0,0.54,0,16.79,11.19,0,960.01,3.84,7.55,0,66.63,0,0,3.61,1.76,1.49,0,4.72,2.73,86.07,0,11.56,7.2,750.88,0,12.54,14.78,0,9.86,2.63,0,1,0,135.1,0,4.22,236.19,3.49,14.08
 84-94,0,0,4.48,0,23.3,0,1.09,794.68,0,10.78,0,70.41,1.67,0.77,19.64,6.11,3.99,0,2.78,0,68.79,0,12.95,9.67,634.16,0,16.69,21.76,0,40.3,8.66,0,3.27,0.66,73.81,0,0,161.27,5.4,6.87
 96-106,0,0,1.35,1.06,41.61,6.12,1.05,971.66,3.8,15.13,1.45,149.77,3.85,0,28.64,10.16,0,2.57,15.22,19.59,124.94,1.22,25.87,12.77,1669.61,0,64.71,86.06,0,21.72,6.5,0,3,0,139.52,0,9.67,255.82,10.89,4.63
108-118,0.56,0,0,0.74,33.46,10.36,2.77,1620.35,2.56,17.69,2.09,218.83,2.23,0,12.14,5.66,3.4,0.5,16.41,0,136.33,0,30.41,7.71,3359.56,0.59,21.48,55.21,0,20.95,4.05,0,9.7,0.66,126.03,2.36,0.85,190.81,18.18,0
120,0,0,0,0,73.52,3.69,1.89,1800.85,16.66,16.51,0,194.39,7.46,5.2,8.69,17.81,1.79,0,14.51,0,156.49,0,67.27,21.76,5415.82,0,49.31,118.88,10.96,4.46,3.03,2.5,2.11,0,146.34,0,10.06,310.34,53.36,0
