stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.65,862.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.77,1253.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05,10.41,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,49.86,38.45,0,66.06,0,0,131.58,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0,0,1179.34,25.54,0,0,223.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.4,0,41.69,0,0,253.43,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,1506.87,48.37,0,0,403.66,0,0,4.8,0,44.05,0,0,0,0,0,0,0
 14-21,0,0,0,4.09,25.69,37.55,70.03,0,0,0,6.45,0,4.05,0,0,0,0,0,0,34.67,0,0,33.14,717.44,5.87,0,2.75,6.06,0,0,0,64.28,1.01,1.16,44.65,134.9,0,3.12,0,0
 24-34,0,0,0,0,3.17,6.17,68.72,0,0,0,5.83,0,0,0,3.98,0,0,0,0,51.33,0,0.91,13.28,399.43,0,3.34,2.62,0,0,0.61,0,0,1.93,0,5.54,66.98,0,17.45,0,1.57
 36-46,0,0,0,0,3.5,0,68.06,0,0,0.61,19.51,0,0,0,1.67,0,0,0,0,32.75,0,0,6.22,231.8,0.63,1.21,0,7.09,0,2.48,0,0,0,0,0,46.55,0,0.94,0,0
 48-58,0,0,0,0,1.01,1.62,70.01,0,0.55,0,8.39,3.13,0,0,0,0,0,0.49,1.52,22.09,0,3.57,3.29,78.86,0,0,0.48,0,0,3.63,0,0,0,0,0,13.1,0.79,0.41,0,0
 60-70,0,0,0,0,3.01,0.68,28.85,1.01,0,0,19.27,0,0,0,0,0,1.91,0,0.87,4.23,1.53,0.7,2.22,28.1,1.26,0,2.13,0,0,0.86,0,0,0,0,0,1.02,0.6,0,0,0
 72-82,0,0,0,0,1.79,3.8,39.38,0,0,3.55,11.95,0,0,0.51,0,0,0,0,0,29.05,0,1.12,8.31,21.81,0,0,2.12,0,0.84,2.5,0,0,0,0,0,0.87,0,2.48,2.18,5.12
 84-94,0,0,0,0,6.89,4.39,30.32,0,0.65,2.01,11.02,0.76,0,0.97,0.8,0,1.02,0,0,21.66,0,0,9.24,35.2,0,0,1.57,0,0,6.81,0,0,0.96,0,0,0,0,3.4,1.06,0
 96-106,0,0,0,0,4.64,3.46,17.76,0,0,2.94,16.59,0.77,0,2.98,0.56,0,1.67,7.82,1.01,17.6,0,0,0.69,40.38,0,0,1.24,0,0,8.89,0,0,0,0,0,0,0,3.21,0,1.72
108-118,0,0,0,0.74,6.88,9.31,17.07,0,1.03,0,8.83,0,0,0,1.21,0.8,3.05,0.53,0,14.99,0.42,1.78,5.18,51.35,0,2.01,0,0,0,5.31,0,0,0,0,0,0,1.41,5.43,0,0
120,0,0,8.73,0,11,13.2,7.88,0,0,0,34.97,0,0,0,1.01,0,0,0,0,3.58,0,0,1.9,33.32,0,0,2.8,0,0,1.02,0,0,0,0,0,0,0,13.91,0,0
