stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,223.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.8,0,0,14.09,0,0,0,0,9636.48,0,0,0,0,0,0,0,0,517.5,26.5,0,0,128.76,0,16.55,3.96,31.93,0,0,0,0,0
 14-21,1.77,3.16,5.25,89.05,3.8,31.26,0,0,17.73,0.98,21141.8,0,1.02,3.21,0,8.23,28.43,0,14.26,641.27,34.07,3,3.21,7.77,25.51,0,81.7,2.69,7.47,86.65,280.87,8.31,0
 24-34,0,0,0,44.91,5.91,93.08,2.25,3.19,19.44,0.73,8947.68,0,1.31,1.03,1.94,10.1,58.03,0,42.71,866.18,13.09,5.64,3.27,0,60.15,0,0,1.24,20.51,6.53,207.92,23.45,15.01
 36-46,0,0,0,5.6,1,29.19,0,0,4.34,0,7250.61,0,0,0,0,0.67,64,0,6.73,379.12,0,0,0.85,0,25.03,0,0,0,0,0,30.7,10.38,14.18
 48-58,0,0,0,3.76,0,16.59,0,0,2.49,0,5624.63,0.67,1.63,2.46,1.04,0,6.19,2.24,1.08,75.45,0,0,0,0,6.87,0,0,0,0,0,25.54,1.84,1.29
 60-70,0,0,0,4.02,0,16.18,0,0,0.68,0,453.17,0,0,0,0,0,5.87,4.16,0.88,15.24,0,0,0,0,7.35,0,0,0,0,0,7.66,0.74,7.34
 72-82,0,0,0,0.78,0,3.57,0,0,0,0,306.93,0,0,0,0,0,0,0,0,2.79,9.68,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.48,0,0,0,0,136.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,1.65,0
108-118,0,0,0,0,0,0,0,0,0,1.18,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0
120,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0
