stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,31.22,0,0.86,0,0.85,0,0,1.13,0,6.25,4.58,13.7,0,0,1.05,0,0
 24-34,0,0,0,4.61,0,0,11.82,0,0,0,2.51,0,0,0,1.1,0,0,0,5.57,6.43,0,0,1.82,138.79,0,4.04,0,0,3.74,0,0,0,0,1.29,63.18,0,0,2.09,0,2
 36-46,0,0,0,0,0,0,59.34,0,0,0.95,1.49,0,0,0.89,0,0,0,0,0,7.1,0,0,2.43,268.88,0,8.3,5.71,0,0.63,0,0,0,0,0,76.75,0,0,1.52,0,0.72
 48-58,0.58,0,0,5.92,0,0,100.41,0.88,0,0,21.96,0,0,0.52,0,0,0,0,0.58,11.83,0,0,2.31,325.52,0,1.09,12.94,0,0.77,0.65,0,0,0,0,62.6,0,0,9.16,0,0.83
 60-70,0,0,0,5.95,0.72,0,243.7,0,4.13,1.59,76.59,0,0,6.49,1.79,3.11,0.7,0,0,43.84,3.18,1.32,0,473.89,2.09,8.51,9.63,0,0,0,0,0,0,0,81.43,0,1.77,2.95,0,3.59
 72-82,0,0,0,9.47,21.71,0,265.61,0,0,1.97,187.86,0,0,0.71,0,3.31,2.6,0,0,47.71,0.59,1.05,2.06,458.29,0,0,8.75,0,0,0,0,0,0,0,32.39,0,0,9.65,0.71,0
 84-94,0,0,0,7.79,12.75,0,146.06,2.14,0.6,0,247.91,0,0.7,2.66,0,5.24,0,0,3.54,31.56,0,4.68,7.44,309.76,1.64,0.71,3.47,0,8.19,0,0,0,0,0,16.57,6,0.63,1.56,3.53,0.7
 96-106,0,0,0.81,3.16,2.52,0,181.33,3.1,0,4,249.96,4.5,0,6.44,0,0.64,2.19,37.04,0,54.73,2.53,2.7,0,382.77,2.63,0,7.5,0,4.14,0,0,0,0,0,136.57,4.83,2.88,20.38,0,8.85
108-118,0,0,0,4.44,3.99,0.5,126.89,0,1.3,4.21,356.11,0.65,0,4.88,0.49,5.39,0,2.37,2.21,42.48,0.8,5.31,0,394.11,0,2.11,9.36,0,6.54,0,0,0,0.44,0,29.35,5.47,2.6,2.28,3.49,0
120,0,0,3.99,10.42,16.5,0,151.66,0,0,0,519.39,4.78,0,3.12,0,5.27,0,0,1.45,55.85,0,0,0,576.68,0,11.5,1.76,0,0,0,0,9.01,0,0,2.98,0,0,22.38,0,17.42
