stage,blastomeres,epidermis,eye,immune,liver,mesenchyme,muscle,neural,otic,periderm,somites,spinal_cord,vasculature,xanthophores
  5-6,59.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,5.3,0,0,0.89,1.99,0,0
 24-34,0,2.13,0,0,0.65,0,1.6,3.47,0,0,0,0,0.59,0
 36-46,0,0,1.7,0,0,0,0,8.93,0,0,0,0.97,0,0
 48-58,0,0,2.48,0,0,0,0,3.51,0,0,0,2.63,0,0
 60-70,0,0,0,0,0,0,0,0.95,0,0,0,1.07,0,0
 72-82,0,0,3.93,0,0,0.59,0,1.92,0,0,0,0,0,0
 84-94,0,0,0,0,2.93,0,0,8.49,5.57,0,0,1.12,0,0
 96-106,0,0,0,0,0.76,0,0,0,0,0,0,0,0,1.13
108-118,0,0,1.43,1.04,1.02,0,0,4.06,0,0,0,0,0,0
120,0,0,0,0,0,0,0,5.16,0,1.87,0,12.11,0,0
