stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,58.68,326.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.37,0,0,0,0,0,0,0,0
  5-6,16.95,256.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,24,0,0,0,30.11,0,0,5.06,0,0,0,0,0,0,0,0,0,0,130.14,8.1,0,0,73.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.59,0,0,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,97.23,0,0,0,56.19,0,0,0,14.48,0,0,0,0,0,0
 14-21,0,0,0.87,4.52,2.65,1.1,0,0,0,0,0,1.28,0,0,0,1.77,0,0,0,65.81,0,0,0.88,0,0,0,3.32,0,4.97,15.5,0,0,0.89,0
 24-34,0,0,2,1.48,0,8.35,0,4.44,0,0,0,0,0,0,0,6.15,0,0,3.23,259.95,1.73,1.33,0,0,0,4.19,0,0,2.46,30.82,0,0,3.44,1.18
 36-46,0,0,0,4.36,0,44.12,0,10.69,0,0,0,0,0,0,0,9.6,0,2.61,5.12,396.52,0,1.23,1.22,0,0,3.29,0,0,0,59.5,0,0,4.73,0
 48-58,0,0,0,0,0,84.41,0,19.92,0,0,0,0,0,0,0,19.67,0,10.56,1.87,297.64,0,1.71,0.43,0,0.4,0,0,0,0,51.16,0,0,0,0
 60-70,0,0,0,3.08,0,110.81,0,22.1,0,0,0,0,0,0,0,13.74,0,0,2.56,204.5,1.36,0,0,0,0,0,0,0,0,54.8,0,0,0,0
 72-82,0,0,0,4.32,1.07,59.09,0.85,8.72,0,0.58,0,0,0,0,3.31,20.77,1.4,0,5,211.67,0,0.88,0,0,0,0.63,0,0,0,70.84,0.92,0,1.11,0
 84-94,0,0,0,0,1.37,74.54,0,15.45,0,0,0.87,0,0.62,0,0,15.8,0,0,3.07,267.77,0,0,1.2,0,0,2.01,0,0,0,63.55,0,1.96,0,0
 96-106,0,0,0,7.59,0,35.31,0.85,4.94,0,1.3,2.18,0,0,0,0,12.82,0,1.7,0,218.97,0,0.71,0.57,0,0,0,0,0,0,24.03,0,0,2.83,0
108-118,0,0,0,0,0,30.05,2.74,4.31,0,0,1.85,0,0,1.49,0,7.1,0,0,6.04,232.14,0,1.47,4.49,0,0,4.54,0,0,0,16.29,0,0,0,6.35
120,0,0,0,0,0,16.41,0,23.83,0,0,2.54,0,0,0,0,6.97,0,5.84,2.07,204.13,0,0,0,0,0,0,0,0,0,49.44,0,0,0,0
