stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,15.88,0,0,0,6.88,0,0,0,0,0,0,7.98,0,0,0,21.91,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.38,0,0,0,0,0,3.87,138.82,0,0,0,56.43,0,0,0,0,0,0,0,0
 14-21,2.95,0,0,0,0,0.84,0,0,0,0,0,1.03,1.04,6.77,0,0,0,0,0,0.92,1.68,0.89,5.86,8.51,0.81,0
 24-34,0.68,0,0,1.42,0,1.09,0,0,0.77,0,0,11.77,3.42,16.17,0.64,0,0,0,0,0.75,0,0,0,2.07,0,0
 36-46,0.73,1.22,1.33,0,0,0.77,0,0,0,0,0,8.48,2.23,20.83,0.97,0,0,0,0,0,0,0,0,7.03,4.42,0
 48-58,1.63,0,2.98,0,0.4,5.31,0,0,0,0,0,4.01,1.81,34.19,0,0.93,0,0,0.4,4.59,0,0,0,3.31,1.27,0
 60-70,0.62,0,9.17,0,0,31.78,0,1.88,0,0,0,10.14,0,18.78,0,0,0,0,0,1.83,0,0,0,3.76,0,1.29
 72-82,0.57,0,1.1,0,0,0.78,0,0.52,0,0,0.64,1.16,0,14.48,0,0,0,0,0,0,0,0,0,0,7.86,0
 84-94,0,0,0.75,0,2.55,2.99,0,0,0,0,0,3.37,0,14.91,0,0,0,0,0,1.19,0,0,0,0,7.69,0
 96-106,0,0,5.08,0,1.11,9.74,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0.83,0,0,0,0,7.03,0
108-118,2.84,0,1.48,0.48,6.03,11.72,0,0,0,0,0,7.03,0,12.4,0,0,0.89,0,0,7.67,0,0,0,0,0,0
120,0,0,15.24,0,0,18.44,0,0,4.02,1.18,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0,0
