stage,axial,blastomeres,endoderm,epidermis,eye,gut,liver,mesenchyme,muscle,neural,periderm,presomitic.mesoderm
  3-4,50.06,107.15,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,15.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.32,0,0
 10-12,0,0,69,0,0,0,0,0,0,14.59,0,0
 14-21,0,0,21.99,10.02,0,0.82,0,2.38,14.49,0,1.31,0
 24-34,0,0,2.13,0,0,0,2.12,3.07,8.66,8.4,2.42,0.95
 36-46,0,0,0,0,0,0,2.42,1.83,2.06,0,0,0
 48-58,0,0,0,0,0,0,0,0.44,0,0,1.64,0
 72-82,0,0,0,0,0,0.67,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.25,2.07,0,1.26,0,0,0
 96-106,0,0,1.84,0,0,1.35,0,1.58,0,0,0,0
108-118,0,0,1.31,0,0,0,0.48,0.65,0,0,0.42,0
120,0,0,0,0,3.26,0,0,0,0,0,0,0
