stage,endoderm,epidermis,erythrocytes,eye,glial,immune,lateral_line,liver,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  7-9,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.71,0,0.66,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0.62,0
 60-70,0,0,0,0,0,5.42,0,0,0,0,0,0,1.06,0,0
 72-82,0,0,0,0.77,0,10.38,0,0,1.18,0,0,0,0.9,0,0
 84-94,0,5.37,0,0,0,0.84,0,0,6.09,2.4,0,0,0.9,0,0
 96-106,0,1.94,0,0,0,16.42,0,0,1.22,0,0,1.49,0.67,0,0
108-118,0,0,0,0.65,2.44,36.92,0,0,11.05,1.51,0,0,1.64,0,0
120,0,0,0,0,0,35.52,7.45,0,0,2.85,0,0,1.49,0,2.15
