stage,eye,glial,mesenchyme,neural,spinal.cord
 48-58,7.54,0,0,0,0
 72-82,0,0,0,0,0.81
 84-94,0,0,0,1.14,0
108-118,0,2.22,0,7,0
120,0,0,1.76,0,0
