stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,24.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,123.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,59.89,0,0,0,6.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,0,19.22,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,1.1,6.36,0.84,4.27,0,0,2.07,0,0,0,0,0,0,0,7.66,0,2.61,77.31,0,1,0,0.9,0,14.03,1.76,0,8.8,33.91,0,0,0
 24-34,0,1.29,0,5.07,0,7.72,0.81,0.68,2.26,0.74,0,0,0.98,0,0.71,0.67,8.84,0,0,122.55,1.47,1.1,0,0,2.47,0,0,0,0.77,37.35,0,4.01,0
 36-46,0,0,0,0,0,20.18,0,1.45,8.07,0,0,0,0,0,0,0,9.56,0.86,3.59,166.75,0,0,0,0,0.99,0,0,0,0,54.32,0,0,0
 48-58,0,0,0,9.63,0,22.69,0,0,9.45,0,0,0,0,0,0,0,9.45,0,1.73,87.84,0,0,0.48,0,2.32,0,0,1.46,0,23.16,0,0,0
 60-70,0,0,0,1.98,0,80.56,0,0,7.39,0,0,4.48,0,0,0,0,16.32,1.58,1.62,175.02,0,0,0,0,1.22,0,0,0,0,26.09,0,1.15,0
 72-82,0,0,0,0,2.53,52.25,0,0,4.3,0,0,0,3.94,0,0,0,19.09,1.08,0.67,163.37,0,0,0,0,3.32,0,0,0,0,5.23,0,0,0
 84-94,0,0,0,0.83,0.83,42.59,0.63,0,3.99,0,0,0,0,0,0,0,13.56,0,7.08,73.35,0,0,0,0,3.32,0,0,0,0,19.72,0.71,2.38,0
 96-106,0,0,0,0,21.45,37.99,1.21,0,13.27,0,0,0,0,0,0,0,8.2,1.14,0,57.8,0,1.87,0,0,7.87,0,0,0,0,2.38,0,0,0
108-118,0,2.91,0,4.34,1.62,34.14,0.77,0.82,3.7,0,0,0,0.42,1.34,0,0,21.32,0,1.02,71.39,0,0.7,0.73,0,0.48,0,0,0,0,2.31,0,0.93,1.58
120,0,0,0,16.92,0,5.97,0,0,5.85,0,0,0,0,0,2.53,0,16.64,0,7.56,72.09,0,1.11,2.11,0,0,0,0,0,0,0,0,1.14,0
