stage,axial,blastomeres,endoderm,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros
  3-4,0,189.06,0,0,0,0,0,0,0,0,0
  5-6,12.98,381.31,0,0,0,0,28.02,0,0,25.13,0
  7-9,16.98,18.62,18.46,29.19,18.12,0,283.1,9.08,93.39,0,0
 10-12,0,4.34,4.25,12.54,3.11,0,221.09,0,82.11,0,13.41
 48-58,0,0,0,0,0,0.43,0.58,0,0,0,0
 60-70,0,0,0,1.47,0,7.65,0,0,0,0,0
