stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,9.41,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,5.43,5.95,0,5.81,0,0,0,8.53,0,0,0,0,0,0,84.26,4.02,0,0,40.26,0,0,0,0,0
 10-12,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,73.94,0,0,0,48.96,0,0,0,0,0
 14-21,0,0,0,4.7,3.15,0,0,0,0,0,0,0,0,3.52,2.47,18.25,0,0,0,0,0,2.39,5.87,0.95,0
 24-34,0,0,0,0,2.75,0,0,0,0,0,0,0,0,6.25,0,26.27,0,0,0,0,0,0,1.84,11.19,0
 36-46,0,0,0,0,7.28,0,0,0,0,0,0,0,0,0.73,0,22.48,0,1.47,0.59,0,0,0,0,2.43,0
 48-58,0,0,0,0.88,5.38,0,0.95,0.46,0,0,0,0,0,4.95,1.69,47.68,0,0.44,0,0,0,0,0,1.84,0.73
 60-70,0,0,0,0,13.96,0,0.71,0,0,0,0,0,0.69,1.03,0,20.01,0,0,0,0,0,0,0,2.16,4.75
 72-82,0,0,0,0,7.77,0,3.67,0,0,0,0,0,0,0.5,0,24.24,0,0,0,0,0,0,0,1.13,0
 84-94,0,0,0,0,1.67,0,0,0,0,0,0,0,0,1.3,0,12.8,0,0,0,0,0.92,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1.95,9.21,0,0,0,0,6.6,0,0,0,0
108-118,0,0,0,0.42,13.95,0,0,0,0,0.81,1.21,0,0,5.95,0,15.93,0,0,0,0,0.49,0,0,0,0
120,0,0,0,0,2.69,1.67,7.42,0,0,0,0,8.39,0,5.67,2.11,10.55,0,0,0,0,0,0,0,0,0
