stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.74,0,0,0,1.15,0,0,4.19,1.26,2.59,0,15.2,29.22,0,0,0,0,0,2.86,0,4.2,9.47,0,0,0,0
 24-34,0.65,1.32,0,0,4.84,0,1.74,0,0,0,0,3.83,0,0.78,69.04,0.6,1.6,1.29,0,2.08,0,0,1.97,20.81,0,0,0,0.77
 36-46,0,0,0,0,12.1,0,1.6,0,0,0,0,6.58,0,2.15,33.4,0.58,0,0,0,0.58,0,0,0,10.08,0,0.94,0,0
 48-58,0,0,0,0,16.75,0,3.5,0.63,0,0,0.99,3.47,4.4,9.49,28.01,0,0,0,0,2.49,0,1.45,0,6.57,0,0.44,0,0
 60-70,0,0,0,0,13.31,3.7,5.84,0,0,0,0,8.91,0,0.6,56.66,0,0,0,0,0,0,0,0,9.17,0,0,0,0
 72-82,0,0,0,0,25.31,0,5.85,0,0,0,0,10.51,0,0,30.74,0,0,0,0,0,0,0,0,1.14,0,0,0,0
 84-94,0,0,0,0,7.72,0,2.76,0,0.96,0,0,2.63,2.31,0,22.49,0,0,0,0,3.08,0,0,0,1.28,0,0,0,0
 96-106,0,0,0,0,18.03,0,7.13,0,0,0,0,3.13,0,0,11.66,0,0,0,1.2,0.66,0,0,0,0,0,0,0,0
108-118,0,0.52,0,0,9.91,0,12.34,0,0,0,0,2.4,0.69,1.48,14.56,2.3,0.55,1.55,0,0,0,0,0,1.94,0.63,5.36,1.05,0
120,0,2.57,0,1.14,0,0,8.25,0,0,0,0,14.8,0,5.61,15.29,0,0,0,0,1.63,0,0,0,0,0,0,0,0
