stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0
  5-6,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.16,0,0,0,0,0,0,0,1.07,0,0,0,1.22,0,0,7.2,8.86,0,0,0,0.96,80,0,4.72,2.42,0,0
 24-34,0,0,0.81,2.47,0,0,2.87,0,0,0,0,0,1.75,0,0,0,3.5,0,0,23.56,50.48,0,0,0,0,75.86,2.96,7.18,4.04,0,0
 36-46,0,0,2.16,5.66,0,0,1.98,0,0,0.87,0,0,2.86,0,0,0,12.02,0,0,13.33,58.15,0,0,0,0,26.79,0.66,15.28,3.27,0,0
 48-58,0,0,0,2.6,2.7,0,2.44,0.62,0,0,0,0,0.9,0,0,0,11.6,0,0,11.99,63.24,0,5.53,0,0,21.18,0,3.99,5.98,0,0
 60-70,0,0,0,7.08,0,0,13.59,2.05,3.17,1.17,2.53,0,1.75,0,0,0,26.54,3.18,0,13.72,24.45,0,0.93,0,0,22.34,0,3.72,7.28,0,0
 72-82,0,0,1.46,14.08,0,0,11.95,0.55,0,1.41,11.9,5.83,6.19,0,0,0,25.04,0,0,9.51,79.61,3.25,0,0,0,1.03,0,5.36,6.47,0.53,0
 84-94,0,0,0.63,6.84,0,0,14.2,3.08,0,0,5.58,0,0,0,2,0,15.75,0,0,6.88,89.27,0,3.73,0,0,16.31,0,9.72,8.18,0,0
 96-106,0,0,2.21,15.23,0,0.8,15.78,0.79,0.72,0,11.96,6.56,1.27,0.66,0,0.71,26.94,0,0,22.72,90.29,2.22,1.74,13.55,0,5.8,0,0.63,13.12,0,5.48
108-118,0,0,1.05,5.05,0,0,30.93,2.07,1.09,1.47,16.65,3.63,0.47,0,0,0,37.05,0.54,0,18.29,80.46,1.28,0,0,0,5.59,0,0,7.58,0,0
120,0,0,0,20.53,0,0,14.54,1.16,1.06,0,27.73,6.94,0,0,0,0,49.92,0,13.76,32.8,86.64,2.11,1.71,0,0,4.54,0,0,24.79,0,0
