stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,1298.38,1632.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,0,0,0,0,0,0,0
  5-6,3932.15,2079.25,0,13.2,0,0,0,0,0,0,0,0,0,305.02,0,0,0,0,0,0,0,0,217.63,179.77,0,0,22.09,0,9.25,0,0,0,0,0,0,0,0,0,0
  7-9,1179,23.36,0,697.23,0,0,0,174.02,0,0,0,0,0,2867.36,0,0,0,0,0,0,0,0,1937.02,1036.13,0,0,429.66,0,0,8.66,0,0,0,0,0,0,0,0,0
 10-12,5.75,0,0,547.24,0,0,0,87.94,0,0,0,0,0,735.78,0,0,0,0,0,0,0,0,513.96,455.01,0,0,30.86,0,0,5.85,0,9.52,0,3.24,0,0,0,0,0
 14-21,2.7,0,8.47,312.56,287.03,5.49,0,0,0,0,0,0,147.12,189.67,0,25.3,0,0,28.76,8.62,14.43,5.18,51.63,219.96,5.23,1.02,7.4,0,5.75,3.89,3.69,6.55,0,0,52.97,0,0,0,0
 24-34,0,0,15.3,140.3,53.18,0,0,1.3,0,2.35,0,0,41.34,6.91,1.2,73.13,0,0,44.33,5.87,134.42,1.06,153.71,101.25,0.69,0,0,0,11.85,0,0,0.86,0,0.74,29.19,0,0,0,1.01
 36-46,0,0,7.28,15.28,22.56,0,0,1.82,0,0.56,0,0,36.04,5.57,0,57.61,0,0,38.06,9.72,108.88,0,212.2,76.72,1.13,0.68,0,0,4.88,0,0,0.75,0,0,20.83,0,0,0,0
 48-58,0,0,4.36,7.1,21.51,0,0,8.7,0.41,0.98,0,0,24.43,4.15,0,42.5,5.18,0,33.25,29.93,121.32,0.79,113.04,42.86,0,0,0,0,8.42,0,0,1.76,0,0,5.03,0,0,0,0.6
 60-70,2.52,0,4.98,0,25.81,0,0,6.14,0,0,0,3.98,64.69,10.64,0,3.42,0,0,18.66,127.15,78.95,2.02,69.46,22.74,0,0,0,0,0,0,0,3.76,0,0,5.55,2.52,1.8,1.09,0
 72-82,0,0,32,2.31,20.56,0,2.32,6.56,0,1.47,3.99,15.3,125.91,1.93,1.82,14.05,0,0,13.42,191.15,167.61,1.1,72.1,29.81,2.39,1.32,0,0,2.78,1.65,0,0.66,0,0,2.49,7.77,1.39,0.5,0
 84-94,0,0,18.66,6.85,26.38,0,8.46,10.67,0,3.91,0,3.57,229.51,4.32,0.61,5.31,0,1.68,40.9,192.47,167.7,1.65,69.62,20.4,0,0,0,0,8.37,2.8,0,2.55,0,0,3.5,14.73,2.93,0,0
 96-106,0,0,23.59,9.26,20.51,9.06,6.95,4.76,0,0.66,0,5.19,289.18,1.06,2.07,6.85,0,2.28,35.54,126.58,191.15,0,123.59,14.97,1.53,0,0,2.14,10.01,0,0,3.3,0.84,0,0,43.13,2.65,2.33,0
108-118,0,0,25.58,6.76,20.55,1.79,31.25,10.79,0,0.86,2.32,1.81,346.86,0,0,7.24,0,2.36,43.76,84.75,127.99,1.74,59.48,13.75,0,0.43,0,0,8.67,0,0,5.08,1.12,0,0,65.05,1.94,0,2.91
120,0,0,9.14,6.07,13.13,0,5.47,10.16,0,0,0,0,177.36,0,2.62,13.04,0,0,22.88,76.44,154.04,1.04,74.87,16.43,1.45,0,0,0,5.09,0,0,6.02,0,0,2.39,15.81,0,0,0
