stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,183.43,2651.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.91,0,0,0,0,0,0,0,0,0,0
  5-6,104,3017.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0,19.45,0,63.2,0,0,0,0,0,0,0,0,0,0
  7-9,43.76,59.77,0,68.75,0,0,145.85,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,1246.78,58.74,0,0,357.34,0,6.55,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.74,0,32.34,0,0,46.27,0,0,0,0,0,15.36,0,0,0,0,0,0,0,0,0,0,0,654.54,17.35,0,0,242.69,0,0,4.94,0,16.79,5.74,0,0,0,0,0,0
 14-21,0.89,0,0.8,6.43,32.27,24.73,18.23,0,0,0,7.55,2.29,0,0.92,0,0,0,0,0,0,14.43,0,0,18.89,348.23,7.84,1.03,4.81,9.96,0,1.28,0,40.01,2.33,33.74,93.81,0,0,1.91,0,0
 24-34,0,0,0.96,0.86,3,0,40.23,0,0,0,7.21,0,0,2.15,0,0,0,0.73,2.29,1.71,27.86,0.68,0,13.27,638.67,2.2,4.26,1.51,0,0,9.6,0,0,0,10.91,104.39,0,0,5.74,0,1.2
 36-46,0,0,0,0,2.94,0,66.39,0,0.58,1.45,21.49,0,0,1.87,0,0,0.61,0,0,0,37.43,0,0,4.48,568.58,1.04,1.7,14.86,0,0,7.39,0,0,2.47,0,120.14,0,0,2.41,0,1.51
 48-58,0,0,0,0,5.14,0,179.81,0,0,1.86,49.85,2.43,0,0.53,0,3.51,0,0,0,5.83,50.86,0,2.83,8.47,575.94,0,2.66,2.17,0,1.91,1.4,0,0,1.8,0,93.75,0,0,1.17,0,0.88
 60-70,0,0,0,0,4.66,0,207.69,0,0,0.7,31.91,0,0,1.91,0.59,0,0,0,2.25,0,40.94,0,3.85,1.76,421.73,0,0.96,0,0,0,0.98,0,0,0,0,82.04,0,0.59,14.32,0,5.91
 72-82,0,0,0.68,0,7.15,0.84,204.82,0,4.16,2.12,27.98,1.38,0,1.4,1.5,0,1.57,0.57,9.33,0,52.83,0,2.22,8.56,353.04,0,3.55,1.51,0,0.71,3.25,0,0,0,0,46.59,5.08,0,13.91,0.69,0
 84-94,0,0,0,0,3.53,0,107.13,0,0,0.93,19.11,0.77,0,0,0.68,1.34,0,0,0,0,42.39,0,1.2,0,179.31,0,2.73,2.5,0,0,7.54,0,0,0.74,0,15.52,0.55,2.41,5.75,3.35,0
 96-106,0,0,2.02,0,1.37,1.61,68.12,0,0,1.04,18.71,1.35,0,0.68,0.93,0,0.59,0,0,0,33.06,0,0.8,6.99,176.68,0,0,4.47,0,0,4.87,0,0,0.67,0,7.08,0.66,0,10.04,0.68,0
108-118,0,0,2.13,0,6.9,0,89.51,0.56,1.32,0.61,21.49,0,0,0,0.49,0,1.51,0,0,0,37.11,0,0,3.12,183.43,0,0.99,2.22,0,1.49,2.87,0,0,0,0,13.32,0,0,16.29,0.44,1.38
120,0,0,0,0,5.13,1.53,52.62,0,0,0,36.39,1.61,0,0,0,0,4.53,0,0,0,7.81,0,0,6.83,230.26,1.37,0,5.02,0,8.63,1.04,0,0,0,0,2.03,0,0,2.43,0,0
