stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,175.5,2757.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.36,0,0,0,0,0,0,0,0,0
  5-6,122.79,2749.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,14.56,0,0,0,0,27.71,0,0,0,0,0,0,0,0,0
  7-9,3.69,5.64,10.71,0,0,0,3.87,0,0,0,0,0,6.42,0,0,0,0,0,0,258.02,6.07,0,0,80.62,0,0,38.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0,98.03,0,0,0,9.45,0,0,5.47,0,12.81,0,0,0,0,0,0
 14-21,0,0,0,0.94,1.57,0,4.17,0,0,0,0,1.08,1.19,0,0,0,0,3.01,1.75,34.85,0,0,0,0,0,5.52,0,3.75,0,1.45,0,9.03,0,0,0
 24-34,0,0,0,0.79,0,0,4.09,0,0,0,0,0,0,0,0,0,0,2.26,2.09,29.58,0,0,0,0,0,1.9,0,0,0,0,0.93,7.93,0,0,0
 36-46,0,0,0,2.21,0,0,8.83,0,0,0,3.24,0,0,0,0,0,0,5.48,0.97,22.24,0,0,13.72,0,0,0,0.81,0,0,0,0,2.23,0,0,0
 48-58,0,0,0,0,0,0,7.15,0,0,0,7.38,0,0,0,0,0,0,2.38,0.5,19.75,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0
 60-70,0,0,0,0,0,0,8.08,0,0,1.49,0,0,0,0,0,0,4.52,3.87,0,9.58,0,0,0,0,0.63,1,0,0,0,0,0,0,0,1.15,0
 72-82,0,0,0,0,0,0,14.5,0,0,0,3.53,0,0,6.64,0,0,0,10.52,1.06,10.82,0,0,0,0,0,1.09,0,0,0,0,0,6.08,0,0,0
 84-94,0,0,0,1.96,0,0.59,6.69,0,0,0,2.71,1.94,0,1.94,0,2.33,0,7.98,1.64,2.23,0.67,0,1.29,0,1.59,5.08,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.32,0,0,7.39,0.67,0,0,4.13,0,0,7.24,0,0,0.6,1.42,0,1.13,0,0.74,0,0,0,1.51,1.55,0,0,0,0,0,3.2,0,1.78
108-118,0,0,0.74,0.53,0,1.32,8.42,0,0.44,0,9.91,0.51,0,10.5,2.49,0,0,6.12,3.72,2.87,0,0.98,0,0,0,0,0.48,0,0,0.46,0,1.14,0,0,0
120,0,0,0,0,0,0,16.61,0,0,0,0,1.31,0,21.2,0,0,0,2.89,1.38,5.35,0,0,0,0,0,0,0,0,0,0,0,19.88,0,7.76,0
