stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,76.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.54,1.95,0,1.47,0,0,0,0.98,0,37.48,0,0,0,0,0,0,0,0,0,23.04,0,0,0,0.91,0,1.19,1,0,0,0,0,0
 24-34,0,0,26.87,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0.62,14.53,0.83,7.84,0.9,0,0,0,0,0,0,0,0,0
 36-46,0,0.78,24.89,0,0,19.39,1.31,0.69,0,0,0,0,0,0,0,0,9.74,1.51,0,4.9,1.71,22.3,0.57,6.04,0,0,3.25,0,0,4.06,0,0,0.62,0
 48-58,0,0,22.68,0,0,140.83,1.17,7.13,0,9.99,0,0,0,0,0,0,1.33,3.16,3.22,0.5,0.37,44.47,0,2.54,3.66,0,2.89,0,0,9.66,0,0,0,0
 60-70,0,0.57,26.84,0,0,857.22,0,3.04,0.87,0,0,0,0,0,0,0,0,3.12,0,0,0,37.37,0,4.65,5.4,0,7.33,0,0,5.28,0,0,0,0
 72-82,0,0.71,31.63,0.64,0.9,1044.82,0,3.84,3.99,3.58,0,0,0.66,0.72,0,0,7.34,4.76,1.7,0,0,43.28,0,8.42,0.57,0,2.87,0,0,0,0.53,0,0,2.14
 84-94,0,0,73.09,0.57,0,1100.21,0,3.6,2.12,0,0,0,0,0,0,0,0.73,2.65,0,0,0,37.92,0,3.24,0,0,2.34,0,0,3.4,0,2.94,0,0
 96-106,0,0,63.37,0,3.41,778.31,0,4.48,0,7.77,1.76,0,0,2.46,1.99,10.62,0,0,0,0,0,61.04,0,8.85,0,0,0.61,0,0,0,0,0,0.56,0
108-118,0,0.41,49.19,0,4.31,689.33,0,3.93,1.34,7.59,0,0,0,2.32,1.25,4.85,0,7.76,0.6,0,0,62.22,0,6.18,3.01,0,0.86,0,0,1.82,0,1.06,0,0
120,0,0,26.34,0,1.06,708.74,0,6.55,0,4.75,0,0,0,1.79,0,0,0,6.56,1.05,0,0,26.93,0,13.37,0,0,0,0,0,7.22,0,0,0,0
