stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,32.44,118.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,253.78,0,0,0,0,0,0,0,0,0,0,0,11.61,8.08,0,0
  7-9,0,3.64,0,0,33.72,0,0,0,7.09,0,0,287.07,6.67,73.08,0,0,0
 10-12,0,0,24.76,0,12.41,0,0,0,3.33,0,0,265.95,5.29,44.48,0,0,0
 14-21,0,0,0,0,0,0,1.01,0,0,0,0,9.42,0,0,0,1.43,3.87
 24-34,0,0,0.59,0.9,0,0,0,0,0,0,0,3.49,0,0,0,0,1.84
 36-46,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,11.2,0,0
 48-58,0,0,0,0,2.31,3.83,0,0,0,0,0.46,0.44,0,0,0,0,1.93
 60-70,0,0,0,0,13.81,0,0,0,0,1.12,1.72,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.67,0,0,0.7,2.34,0,0,0,0,0
120,0,0,0,1.08,0,0,0,0,0,0,0,4.4,0,0,0,0,0
