stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,11.99,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0
  5-6,24.86,162.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.97,0,21.17,0,0,4.2,0,0,0,0,258.84,4.91,0,0,38.74,0,0,0
 10-12,0,13.19,0,17.27,0,0,0,0,0,0,126.23,11.53,0,0,35.46,0,3.57,0
 24-34,0,0,0,0,0,0,0,0,1,0.95,10.83,0,0,0,0,1.55,0,1.03
 36-46,0,0,0,1.46,0,0,0.77,0,0,0,37.42,0,0,0,0,0,0,1.61
 48-58,0,0,0,5.04,4.11,0,0,0,0,0,7.2,0,0.86,0,0,0,0,0
 60-70,0,0,0,1.48,0,0,0,0,0,0,0,0,0,4.98,0,0,0,0
 72-82,0,0,0,1.22,0,0,0,0.5,1.22,0,3.5,0,0,0.78,0,0,0,0
 84-94,0,0,0,0,0,0,0.6,1.78,0,0,0.87,0,4,4.78,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.97,0,0,5.19,0,0,0,0
108-118,0,0,0,0,0,0,0,2.62,1.64,0,0,0,0,1.33,0,0,0,0
120,0,0,0,0,0,0,0,2.11,0,0,5.85,0,0,0,0,0,0,0
