stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.45,687.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,0,0,0,0,0,0,0,0,0
  5-6,34.45,336.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.18,10.72,0,0,16.21,0,14.48,0,0,0,0,0,0,0,0,0,0
  7-9,4.02,7.94,0,16.58,0,0,52.27,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,172.2,11.73,0,0,39.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.54,0,84.16,0,7.97,47.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.25,0,0,0,145.06,0,0,17.2,0,33.74,0,16.63,0,0,0,0,0
 14-21,0,0,0.82,3.89,11.04,1.85,4.32,0,0,0,15.72,0.96,0,1.92,0,0,0,0,2.97,0,0,2.63,261.64,2.05,2.96,0.83,0.83,0,0.86,0,11.48,7.85,2.51,168.47,0,0,0,0,0
 24-34,0,0,1.4,0,5.8,0.78,50.45,0,0,0,50.6,1.89,0,2.62,0,0.97,0,0.67,18.9,0,0,8.17,1101.94,2.07,55.39,4.13,0,0,0.62,0.86,0,3.15,2.14,395.68,0,0,1.12,0,0.79
 36-46,0,0,0,0,10.98,0,228.13,0,0,0.84,99.87,0.57,0,0,0,0,0,0,45.42,0,0.67,5.61,993.35,0.67,44.19,2.28,0,0.77,0,0,0,8.22,0,359.29,0,1.04,0.68,0,0
 48-58,0,0,0,0,3.69,0,631.09,0,0,0,156.97,0,0,0,0,1.9,0,0,68.84,0,1.17,8.9,484.53,0,20.27,7.28,0,0.61,0.98,0,0,7.59,0,216.93,0,0,2.68,0,0
 60-70,0,0,0,0,9.4,0,1182.45,0,7.38,0,110.06,0,0,0,4.83,0.85,0,0,84.46,1.53,2.92,3.94,203.15,0,31.86,4.69,0,0.63,7.06,0,0,0,0,73.35,0,0,0,0,0
 72-82,0,0,2.19,0,1.78,0,528.55,0.95,0,0.94,85.12,3.77,0,5.1,0,0,0,0,76.12,0,0,2.24,129.24,0,43.23,10.7,0,0,1.27,0,0,0,0,14.3,0,0.52,3.07,1.98,0
 84-94,0,0,6.13,1.01,5.45,0,614.71,0.76,0,3.72,81.17,1.28,0,4.93,0,0,0,0,67.86,0,7.61,2.97,124.91,0,43.94,3.77,0,1.01,3.11,0,0,1.71,0,8.51,2.45,0.98,0,1.34,0
 96-106,0,0,0,0,3.07,0,350.84,0,0,0,68.76,3.23,0,0,3.43,0,0.92,0,48.7,0,2.38,3.48,111.96,0,42.64,3.53,0,0,6.52,0,0,0.87,0,7.05,0.88,2.29,0,2.92,0
108-118,0,0,0.91,0,4.58,0,335.91,0,0,0.65,104.27,0.46,0,0,0,0,0,2.34,65.99,0,2.45,3.47,120.97,0,34.24,4.01,0,0,1.69,0,0,1.51,0,25.33,0.71,2.74,0.57,4.28,0
120,0,0,0,0,2.38,2.93,388.33,0,0,0,164.07,0,0,0,0,0,0,0,23.46,0,0,2.81,145.52,0,71.96,0,0,0,0,0,0,0,0,12.16,0,3.38,0,0,0
