stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.29,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.49,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.59,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0
 14-21,1.11,0,1.78,0,0,0.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,57.43,0.83,0,6.16,0.84,1.36,0,0,0,0,0
 24-34,0,0,1.89,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.73,0,0,5.67,0,0,0,26.55,0,3.93,0,0,99.26,0,0,10.82,0,4.25,0,0,0.7,0,0
 36-46,0,0,0.9,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0.99,0,3.37,44.78,0,23.76,0,0,137.13,0,0,3.75,0,2.28,0,0,0,0,0
 48-58,0,0,9.38,0,0,7.53,0.55,3.67,0,0,0,0.97,0,0,0.4,0,0,0,0,1.34,0.82,0,0,27.38,0,31.97,0.42,0,106.32,0,0,7.66,0,2.17,0,0,0,0,5.5
 60-70,0,0,14.09,0,0,32.96,0,4.92,0,0,0,0,0,0,0,0,8.39,0,0,1.62,4.28,0,0,83.78,0,3.51,0,0,668.9,0,0,59.51,0,3.64,0,0,0,0,0
 72-82,0,0,112.37,12.03,0,113.34,70.23,33.76,11.62,28.52,1.75,0,1.91,2.26,9.84,7.05,2.97,7.51,0,37.02,26.44,8.32,1.61,345.5,1.67,38.91,4.42,4.21,4936.52,0,0,1.82,0,16.34,2.98,2.82,10.32,5.18,13.01
 84-94,0,0,156.24,1.75,1.39,99.92,12.01,150.61,0.71,21.33,16.66,0.76,3.68,1.28,90.81,1.43,0,1.17,0,27.05,43.09,0,8.97,246.94,0,99.35,0,0,16695.29,0,2.26,2.39,0,6.13,25.65,0,6.82,0,2.3
 96-106,5.72,0,1663.94,140.98,14.06,752.5,26.15,283.33,15.18,192.35,58.36,0,4.66,32.25,324.05,9.79,12.35,130.52,0,251.63,289.17,15.26,45.83,1645.67,3.64,60.53,13.6,11.41,45676.46,0,3.86,13.21,0,25.2,57.92,19.81,46.83,119.52,48.85
108-118,2.96,0.74,1818.11,60.52,26.21,423.22,9.43,967.61,10.37,94.49,86.49,0,2.9,13.77,513.89,7.96,5.99,20.64,9.22,287.51,504.61,14.79,34.88,1427.27,9.08,94.66,13.02,12.74,62651.73,0,1.71,1.59,0,25.14,71.26,3.74,27.52,12.91,34.24
120,0,0,3074.01,37.62,17.74,306.38,0,600.36,3.99,107.97,36.96,10.41,4.21,18.94,203.18,4.86,3.4,22.12,7.7,252.5,304.53,0,29.99,1074.64,6,24.87,33.23,0,39037.95,0,1.99,0,0,34.25,1.27,2.71,21.65,3.69,29.2
