stage,blastomeres,endoderm,epidermis,eye,glial,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.32,0,0,0,0,0,0,0,0,0,16.67,0,6.03,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.4,13.83,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,3.14,0,0,2.85,0,0.87,1.1,0.98,0
 24-34,0,0,0.94,2.85,0,0,0,0,2.94,0,1.38,5.95,0,0,0,0,0
 36-46,0,0,0,0,1.57,0,0,0,0,0,0,9.37,0,0,0,0.73,0
 48-58,0,0,0,1.57,0,0,2.75,0,0.49,0,0,15.39,0,0,0,2.75,0
 60-70,0,0,0,3.43,0.96,0,0,0,0,0,0,3.81,0,0,0,0,0
 72-82,0,0,0,10.56,0,0,0,1.89,0,0,0,22.73,0,0,0,1.6,0
 84-94,0,0,0,1,0,0,0,0,1.45,0,0,6.08,0,0,0,0,0
 96-106,0,0,0,3.06,0,0,0,0,0.82,0.93,0,1.58,0,0,0,0.87,0.83
108-118,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.33,0,0,0,0,2.35,0,0,0,0,0,0,0,0
