stage,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,15.27,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,3.81,0,0,0,1.5,0,22.9,1.99,0,0,0,0,0.87,0,17.28,0,0,0
 24-34,0,0,0,0.95,2.81,0,0,0,0,0,4.72,0,0,0,0,0,0,0,6.67,0,0,0
 36-46,0.95,0,0,0.59,1.88,0,0,15.36,2.28,1.27,15.23,0,2.2,0,0,0,1.99,0,5.85,0.85,0,0.81
 48-58,0,0,0.39,0,2.6,1.18,0,0,2.82,0.95,0.55,0,0,0,0,0,0,0,5.47,0,1.34,0.83
 60-70,0,0,0,0,1.66,0,0,0,0.89,0,1.16,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.98,0,0,0,2.94,0,3.26,0,0,0,0,1.56,0.73,0,6.86,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,7.18,0,0,0,2.71,0,0.97,0
 96-106,0,0,0,7.95,8.15,0,0,0,1.23,0,9.33,0,0.6,0,0,0,0.7,0,0.98,0,0,0
108-118,0,0.74,0,0,6.38,0,0,0,0,0,8.04,0,4.24,0,0,1.23,0.52,0.66,5.79,0,0,0
120,0,0,0,3.57,71.65,0,1.51,0,28.65,0,42.03,0,5.06,9.75,0,3.3,0,0,7.78,0,0,0
