stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,17.18,489.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.5,948.56,0,0,0,0,0,0,0,0,0,0,0,8.67,0,10.04,22.53,0,0,0
  7-9,33.19,27.95,16.03,0,0,33.48,0,0,15.24,0,0,0,0,573.58,8.38,181.16,0,0,0,0
 10-12,0,16.62,26.68,0,0,43.47,0,0,0,0,0,0,0,314.89,6.19,64.26,0,14.22,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0.86,2.78,0,0.88,6.36,0,1.77,0
 24-34,0,0,0,0.72,0,0,0.62,0,0,0.98,0,0,0,1.01,0,0,0.71,0,0,5.58
 36-46,0,0,0,0,2.04,1.57,0,0,0,1.34,0.67,0,0.59,5.41,0,0,1.51,0,0,0
 48-58,0,0,0,4.3,0,0.69,0.43,2.29,0,0,0,0.68,0,3.41,0,0,11.77,0,0,1.23
 60-70,0,0,0,3.94,0,12.93,0,0,0,0,1.72,2.6,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.63,2.21,0,0,0,0,0,1.31,0,2.51,0,0,0,0,0,0
 84-94,0,0,0,0,5.07,0,0,0,0,0,0,4.06,0,5.58,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.18,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0
108-118,0,0,0,3.15,0,2.16,0,0,0,0,0,1.68,0,1.44,0,0,0.56,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,15.26,0,0,0,0,3.37,0,0,0
