stage,epidermis,eye,glial,gut,iridophores,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,12.76,5.22,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,3.71,0,0,0,0
 24-34,0,0.98,0,0,0,1.39,0,0,2.61,0,0,0,9.09,0,0,0,0
 36-46,0,0,0,0,0,1.85,0,0.56,7.69,0,0,0,3.48,0,1.37,0,0
 48-58,0,6,0,0,0,6.72,1.22,0,16.03,0,0,0.85,0,0,0,0,1.67
 60-70,0,4.12,0,0,5.84,13.83,0,0,13.55,0,0.71,0,0,0,0,0,0
 72-82,0,0,2.17,0,0,11.41,0,0,5.35,0,0,0,0,0,1.91,3.72,0
 84-94,0,3.41,0,0,0,9.63,2.16,0,14.2,0,0,0,0,0,3.98,4.05,0
 96-106,0.58,31.33,1.45,0,0,10.73,0,0,11.84,0,0,0,0,1.68,0.57,1.79,0
108-118,0,21.8,1.2,0,0,9.81,5.1,0,6.32,0,0,1.43,0,0,0,2.52,0.49
120,3.12,56.2,0,0,12.97,11.59,0,0,20.69,0,0,0,0,0,0,0,2.85
