stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0.92,0,0,0,0,0,0,0,0,0.85,0,0,0,0,2.45,0,0
 24-34,0,0,0,1.05,0.76,0,0.62,0.95,0,0,11.56,0.83,0,0.67,0,7.46,0,0
 36-46,0.75,0,0,1.96,0,0.87,4.71,1.9,0,0,24.71,0,0,0,2.32,28.71,0,0
 48-58,0.41,0,0,3.54,0,0,0,0,0,0,35.68,0,0,0,0.77,16.35,0,0
 60-70,0,0,0,10.94,0,0.78,4.48,0,0,0,43.71,0,0,0,0,17.27,0,0
 72-82,0,0,0,6.87,0.52,1.25,0,0,0,0,53.65,0,0,0,0,15.04,0.73,0
 84-94,3.11,0,0,9.17,0,3.16,5.81,0,0,0,69.09,0,0,0,0,13.76,0,0
 96-106,1.43,0,0,11.03,0.58,3.16,2.72,4.82,2.17,0,63.47,0,0,0,0,3.79,0,0
108-118,1.2,1.32,0.99,69.77,1.27,2.2,5.86,2.63,1.21,0.6,101.39,0,0,0,0.63,17.49,0,0
120,0,0,0,35.84,1.62,0,19.41,0,30.85,0,125.55,0,2.97,0,0,38.69,0,3.24
