stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,67.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,126.48,0,0,0,0,0,0,0,0,0,0,0,0,0,23.47,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.71,0,28.39,0,0,0,0,20.77,0,0,0,0,0,116.06,3.53,0,5.62,0,0,0,0,0,0,0
 10-12,0,0,0,3.98,0,0,0,0,8.93,0,0,0,0,0,61.04,10.07,0,19.47,0,0,8.6,0,0,0,0
 14-21,0,0,4.07,1.84,0,0,0,0.82,0,0,0,0,0,1.79,10.78,0,0.84,0,0,2.05,0.86,0,1.01,3.42,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,8.53,0.68,0,0,1.07,0,0,0.63,0,0,0
 36-46,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0.58,0
 48-58,0,0,4.86,0,0,0,4.7,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,4.68,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.47,0,1.99,0,0,0,0,0.9,0,0,0.64,1.57,26.45,0,1.46,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,6.05,0,0.71,0,0,0,0,0,0,0,0
 96-106,0,0,2.23,0.58,0,0,0,0,0,0,0,0,0,2.25,3.84,0,0,0,6.48,0,0,0,0,0,0.78
108-118,0,0,1.05,0.84,1.11,0.72,0.74,0,0,0.67,0,1.42,0,4.51,1.55,0,0,0,1.69,0,0,0,0,1.75,0
120,0,0,14.16,3.78,1.27,0,0,0,0,0,0,0,0,0,17.54,0,1.05,0,0,0,0,0,0,0,0
