stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,9.47,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,6.94,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,4.01,0,0,0,0,0,0,0
 10-12,0,0,0,5.69,0,0,0,0,0,0,0,0,0,20.26,0,0,0,4.73,0,0,0,0,0,0,0
 14-21,0,0.84,1.44,1.85,0,0,2.22,0,0,1.87,0,0,0,15.17,0.81,0,0,0,0,2.9,1.78,3.56,4.92,0,0
 24-34,0,0,0,0.88,0,0,0,0,0,0,0,0,0.78,9.05,0,0,0,0,5.57,0,0,0.83,3.29,0,0
 36-46,0,0.92,0,5.22,0,0,0,0,0,1.9,0,0,0.96,47.25,0,2.72,0,0,6.2,0,0,0,9.93,0,0
 48-58,0,1.01,0,12.71,0,0,3.67,0,0,4.4,0,0,4.15,71.43,0,1.25,0,0,0.47,0,0,0,7.67,0,1.72
 60-70,0,1.45,0,24.4,0,0,3.47,0,0,11.5,0,0.59,1.01,39.48,0,0.81,0,0,11.55,0,0,0,4.52,0,0
 72-82,0,0,0,17.6,0.81,0.79,1.68,0,0,7.1,0,0,0,36.13,0,1.43,0,0,6.66,0,0,0,0,0,0
 84-94,0,0,0,23.91,0,0,6.01,1.94,0,1.53,0,0.92,0,37.3,0,0,0,0,19.93,0,0,0,12.4,0,0
 96-106,0,0,1.6,11.75,0,0,1,1.13,0,2.72,0,0,0.88,33.92,2.03,0,0,0,13.79,0,0,0,0,0,0
108-118,0,2.82,0,20.28,0,0,2.87,1.35,0.91,5.54,1.01,0,0,20.32,0,1.21,0.74,0,17.75,0,0,0,0,1.1,0
120,0,0,1.7,9.71,2.34,0,0,2.48,0,3.04,0,0,0,25.35,0,0,0,0,17.21,0,0,0,0,5.48,0
