stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,484.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,252.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0
  7-9,12.3,0,12.28,0,5.98,34.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.62,0,0,0,95.89,0,0,0,9.82,0,0,0,0,0,0,0,0
 10-12,4.52,0,51.97,0,0,41.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.13,0,0,0,98.2,0,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,20,6.67,24.19,0,0,0,1.22,3.81,0,0,0,0,0,0,8.46,0,0,8.63,146.58,1.29,6.42,1.95,3.44,0,2.35,8.33,4.93,0,9.54,50.73,0,0,2.68,0,0
 24-34,0,0,2.05,7.73,0.68,25.78,0,0,0,7.18,0,0,0,0,0.68,1.1,0,20.77,0,0,9.59,324.29,2.15,0,3.18,0,0,0,0,0,0,3.79,51.14,0,0,14.86,0,0
 36-46,0,0,0,3.51,3.68,26.91,0,0,0,22.2,0,0.95,0,2.51,0,5.5,0,37.52,0,1.42,4.21,361.69,1.26,0.81,6.54,0,0,0,0,0,0,0,53.89,0,0,0,0,4.56
 48-58,0,0,0,4,0,64.22,0,0,1.55,59.43,0.58,0,0.85,0,0.69,0,5.15,43.25,0.81,0,5.37,380.64,0.52,0,1.63,0,0.59,6.56,0,1.99,0,0,67.58,0,0,0.37,0,2.94
 60-70,0,0,0,9.29,0,74.32,0,0,0,37.39,5.01,0,0,0,0,0,2.79,42.7,0,1.43,0.93,619.73,1.03,0,2.32,0,0,2.47,0,1.84,1.33,0,38.11,0,0,0.68,0,3.58
 72-82,0,0,0,3.14,5.68,154.55,0,0,0,52.35,0.65,0.86,0,3.39,0,0,4.38,61.24,0.89,4.32,1,555.59,0,0,4.74,0,0,3.29,0,4.56,0,0,22.92,0.92,3.75,4.23,7.64,0
 84-94,0,0,0,2.61,0,108.91,0.67,0,2.5,51.01,0,0,0,1.49,1.46,0.61,16.9,39.16,0,0,3.43,445.58,2.69,0,6.48,0,0,7.24,0,2.46,0,0,9.12,0.56,1.07,5.48,0.75,0.8
 96-106,0,0,0,3.1,2.46,82.43,0,0.98,0.76,22.75,0.83,5.22,1.58,0,0,0,7.61,33.95,0.98,0,2.31,409.61,0,0,1.95,0,0,0,0,0,0,0,9.72,1.13,0,4.61,0.74,0
108-118,0,1.56,0,5.02,2.32,87.27,1.3,0,0.58,54.85,0,1.04,2.54,0,0,0,20.99,15.48,2.89,5.41,7.82,577.09,2.04,0,3.59,0,0,7.36,0,2.38,0,0,12.11,0,2.4,8.2,0,0.46
120,0,0,0,6.6,0,122.62,0,0,0,56.81,0,0,2.44,0,0,0,0,36.39,0,0,5.63,933.34,0,0,21.63,0,0,0,0,0,0,0,16.47,0,0,0,0,0
