stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,62.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,70.47,10.59,0,0,0,0,0,0,5.52,0,0,0,0,0,0,8.02,0,4.58,0,0,0,9.97,0,0,0,0,0,3.13,0,2,0,0,0,0,0
 24-34,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.48,0,0.61,0,0,0,4.76,0,0,0,0,0,1.27,0,3.02,0,0,0,0,1.66
 36-46,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,73.08,0,0,0,0,0.94,5.14,0,0,0,0,0,7.06,0,3.26,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,1.62,36.38,0,0.49,0,0,0,9.19,0,0,0,0,0.39,1.81,0,0,0,0,0,0,2.57
 60-70,0,0,0,0,0,0,5.21,0,0,1.16,0,0,0,0,0,0,0,101.19,0,1.84,0,0,0,11.21,0,0,0.65,0,0,10.29,0,0,0,0,0,0,0
 72-82,0,0,0,0,6.47,11.51,19.09,0,20.1,0.6,36.72,0,0,0,0,2.65,0,120.54,0,3.19,0,0,0,19.58,0,0,0,0,2.1,8.84,0,1.33,0,0,0,0,4.07
 84-94,0,1.04,0,0,5.24,29.19,21.36,0,7.5,4.78,41.69,0,0,0.98,0,0,0,243.52,0,5.02,0,0,0,18.81,0,0,0,0,0.8,5.55,0,0,0,0,0,0,0
 96-106,0,13.19,0,14.29,57.65,189.2,173.61,2.44,68.32,17.2,1105.07,0,0.61,3.33,1.73,0.58,1.41,1549.92,0,98.43,0,5.05,8.15,546.73,3.4,2.68,7.91,6.61,43.67,38.67,4.11,22.5,1.89,7.31,20.89,8.56,5.35
108-118,0,0.95,0,24.97,19.62,685.19,173.49,3.6,60.93,33.92,3430.61,2.74,0,3.98,0.45,4.56,10.66,3331.18,1.85,82.56,14.8,2.98,14.72,506.52,1.23,0.49,2.8,0,43.71,99.98,0.41,5.3,0.89,2.87,0,0,6.15
120,0,3.52,0,28.08,4.12,203.49,100.06,1.62,92.85,27.09,2150.74,0,2.27,0,0,0,3.66,1262.26,10.94,84.67,0,2.13,7.87,564.09,0,0,1.47,0,16.01,40.19,0,0,0,0,6.85,0,0
