stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,22.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.27,0,0,0,11.17,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.97,0,0,0,0,0,0,1.07,0,0,0,0,0.96
 36-46,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.75,0,0,0,0,0,0,4.2,0,0,0.69,0,0
 48-58,0,0,2.77,0,0,93.35,0,0,7.37,0,0,0.41,0,0,0,0,1.21,0,0,0,885.98,0,0,0,0,0,0,11.59,0,0,1.1,0,0
 60-70,0,0,0,0,0,676.16,0,6.58,10.81,0,0,0,0,0,0,9.71,3.49,1.27,1.78,0.6,2991.88,1.73,0,3.48,0,4.98,1.01,29.4,0,0,0,0,4.56
 72-82,0,1.62,25.4,7.71,0,992.5,0.73,2.52,42.91,0,1.16,5.65,0,1.4,0.79,0,21.01,0,1.17,3.25,3603.79,4.03,0,4.5,0,0,0,111.52,0,0.51,0.87,0,0
 84-94,0,0,57.15,2.52,0,855.47,4.4,0,49.55,0,3.49,6.19,1.15,0,0,0,25.07,0,1.13,3.87,2563.61,0,1.9,0.62,0,9.7,0,71.88,0,2.42,0,0,21.91
 96-106,0,4.59,14.47,9.02,0,539.25,0.6,3.22,35.18,1.66,2.33,0.84,0.61,0,0,0,25.94,1.61,7.97,1.41,2192.41,0,0,0,0,10.34,0,68.47,0.56,0,2.25,2.54,5.17
108-118,0,0,18.47,1.53,0.5,741.07,0,3.37,19.28,0,0,1.05,1.57,0,0.44,1.71,35.41,1.08,7.24,1.49,3386.73,0,1.73,0,0,0,0,27.38,0,0,0,1.13,4.23
120,0,0,13.19,0,13,449.7,0,0,63.4,0,0,0,0,1.01,0,0,0,0,0,1.03,3146.05,0,6.01,0,0,2.39,0,35.75,0,0,4.18,0,0
