stage,epidermis,eye,glial,ionocyte,neural,otic,periderm
 48-58,0,0,0,0,0,1.14,0
 60-70,0,4.24,0,0,0,0,2.16
 84-94,0.62,0,0,0,0,0,0
108-118,0,0,0,0,1.83,0,1.19
120,0,0,8.08,1.25,0,0,0
