stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,41.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.7,0,0,0,0,0,11.42,0,0,3.48,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.92,0,1.22,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.59,0,4.49,0,53.89,0,0,1.74,0
 36-46,0,0,0,0,0,0,0,0,0,8.93,2.42,29.11,0,2.34,0.99,0
 48-58,0,0,0,3.19,0.42,0,0,7.82,0.46,6.2,0,63.56,0,0,4.66,4.53
 60-70,0,0,0,1.58,0,0,0,15.54,1.66,17.36,0,115.85,0,0,0.93,0
 72-82,0,0,0,11.47,0,0,0,28.66,1,16.63,0,125.41,0,0,0,0
 84-94,0,0,0,6.41,0,0.68,0.75,18.29,0,12.65,0,167.31,0,0,5.79,0
 96-106,0,0,3.25,18.32,0,0.62,0,42.02,0.67,11.12,0,164.82,0,0,0,7.53
108-118,0,0,0,15.25,0,4.37,0,21.85,4.62,15.96,0,143.59,0,0.54,0,0
120,0,3.83,0,42.26,0,2.03,0,28.61,0,85.56,0,298.29,0,0,0,0
