stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,27.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,15.47,0,0,5.05,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,1.04,0.85,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,2.28,0,0,0
 36-46,0,0,0,0.69,0,0,0,0,0,0,0,8.44,0,0,0,14.3,0,0,0
 48-58,0,3.31,0,0,0,0,0,0,0,0,0,5.91,0,0,0,9.17,0,0,0
 60-70,0,0,0,2.41,0.91,0,0,0,0,1.93,0,15.27,1.16,0,0,0.65,0.61,0,4.23
 72-82,0,0,0,0,0,0,0,0,0,2.37,0,3.89,0,0,0,6.93,0,0,0
 84-94,0,0,0,5.23,0,0,0.95,0,0,1.44,0,19.68,2.19,0,0,2.68,0,1.76,0
 96-106,0,0,0,0,0,0,1.07,0.82,1.11,0,0,5.7,0,0.65,0,1.61,0,0,0
108-118,0,0.51,0,4.93,0,0,0,0,0,0,0.59,11.28,0,0,0,9.94,0,0,0
120,0,0,1.38,0,0,1.5,6.38,0,0,9.06,0,22.13,0,0,0,9.75,0,0,0
