stage,epidermis,eye,glial,heart,immune,lateral_line,mesenchyme,neural,otic,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,10.78,0,0,0
 14-21,0,0,0,0,0,0,0,0.82,0,0,0
 24-34,1.01,0,0,0,0,0,0,3.2,0,2.7,0
 36-46,0,2.44,0,0,0,3.34,1.24,16.87,10.4,3.22,0
 48-58,0,0.38,0,0.4,0,0.87,1.2,5.33,4.45,0,0
 60-70,0,1.49,0.61,0,0,6.93,0,6.69,16.48,0.73,0
 72-82,0.5,0.8,0,0,0,4.17,1.13,11.75,17.63,0,2.94
 84-94,0,1.74,0,0,0,5.95,0,1.86,34.32,8.79,0
 96-106,0,7.61,0,0,1.56,22.96,4.23,2.06,74.55,5.57,0
108-118,0,4.88,1.63,0,0,14.52,0.49,12.49,43.79,3.6,0
120,0,0,0,0,0,51.95,0,9.28,79.62,0,0
