stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.87,524.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,0,0,0
  5-6,42.38,608.49,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,9.28,0,0,0,0,0,0,0,0,0
  7-9,29.56,0,0,30.09,0,0,37.34,0,0,0,0,22.83,0,0,0,0,0,0,0,0,0,0,442.27,35.16,0,0,143.13,0,0,0,0,0,0,0,0,0
 10-12,0,22.28,0,45.55,0,0,27.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.67,3.74,0,0,192.01,0,0,16.41,0,0,0,0,0,0
 14-21,0,0,1.32,0,2.7,1.19,0,0,0,0.84,0,0,0,0,0.86,0,0,0,5.96,0,0,2.8,30.12,1.25,0,0,0.91,0,9.85,1.56,2.99,12.91,0,2.95,0,0
 24-34,0,0,0,0,10.9,0,2.09,0,0,0.97,0,0,0,0,0,0,0,0,6.99,0,0,3.52,71.97,1.13,0,0.9,0,0.73,0,0,0.75,21.29,0,1.3,0,0
 36-46,0,0,0,0,0,0,10.46,0,1.03,2.35,0,0,1,0,0,0,0,0,7.62,0,0,1.09,38.78,0,0,0.83,0,0.63,0,0,0,15.81,0,1.09,0,0
 48-58,0,0,0,0,0.4,0,32.03,0,0.45,2.65,0,0,0,0,0,0,0,0,10.02,0,0,0.82,27.51,7,0,0,0,0.6,0,0,0,15.58,0,0,0,1.92
 60-70,0,0,0,0,0,0,21.17,0,0,0.93,0,0,0,0,0,0.61,0,0,20.18,0,0.89,3.55,28.92,0,0.84,0,0,2.8,0,0,0,0.57,0,0,0,3.17
 72-82,0,0,0,0,0.76,0,8.97,0,0.56,4.24,1.01,0,0,2.57,0,0,1.06,3.49,12.45,0,0,0,10.34,0,0,0,0,0.79,0,0,0,1.2,1.33,0,0,0
 84-94,0,0,0,0,1.3,0,0.56,2.11,2.61,5.21,2.21,0,0,0.83,2.39,0,0,0,9.27,0,4.32,0.95,13.52,0,0,2.8,0,5.52,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.23,1.84,5.48,0,0,4.18,0,0,0,0.73,0.84,4.35,0,0,8.94,0,0,0.83,21.92,0,0,0,0,0,0,0,0,0,0,0.59,1.24,0
108-118,0,0,1.03,0,3.19,4.09,4.52,0,0,0.56,0.52,0,1.49,0,0,0.64,0,0,7.61,0.96,0,0,13.85,0,0,0,0,1.96,0,0,0,0,0,0.74,0,0.88
120,0,0,0,0,0,2.61,10.96,0,0,0,0,0,5.19,0,0,0,0,0,21.3,5.12,0,0,11.76,2.28,0,0,0,1.37,0,0,0,0,0,1.41,0,0
