stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,66.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,108.4,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.85,37.52,0,11.52,0,0,0,43.27,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,225.09,9.68,0,0,80.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.31,0,33.23,0,5.97,0,60.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.13,8.87,0,0,152.03,0,0,0,18.06,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.42,13.77,3.66,0,3.84,0,0,0,4.26,1.08,0,0,0,0,0,0,0,3.57,0,0,6.84,50.08,0,0,0,0,0,1.61,1.19,0,1.16,2.94,20.08,0,0,0,0,0
 24-34,0,0,0.81,0,4.14,0,0,8.28,0,0,0,0.75,0,0,0,0.78,0,0.96,0,0,8.59,0,1.66,5.39,129.9,0.65,5.99,1.31,0,0,5.75,0,0,0.67,1.93,25.35,0,0,2.08,0,2.72
 36-46,0,0,0,0,12.52,0,0,12.4,0.79,0,0,9.8,0,0,0,0.56,0,0,0,1.14,20.43,0,0.96,9.08,189.95,0.72,0,0,0,0.97,4.05,0,0,0,0,28.9,0,0,7.52,0,0
 48-58,0,0,0,0,10.19,0,0,39.72,0,2.94,0.41,10.02,0,0,7.48,0,0,0,0,1.16,19.7,0,0,9.29,137.44,0.6,0.91,0,0,0,3.99,0,0,2.26,0,22.49,0,0,0.95,0,0
 60-70,0,0,0,0,0,0,0,76.9,0,0.9,2.69,13.47,0,0,6.92,0,0,0.72,0,0,25.15,0,1.57,2.28,168.58,0,0,0,0,1.65,4.61,0,3.8,0,0,15.81,0,3.84,11.08,0,5.03
 72-82,0,0,1.14,0,3.08,1.45,0,38.29,1.52,0,1.05,15.04,0,0,0.69,0,0,0,0,0,24.23,1.79,1.17,1.48,153.9,0,2.79,3.38,0,2.36,6.34,0,0,0,0,10.61,0,1.34,7.63,0,2.1
 84-94,0,0,0,0,4.16,0,0,53.01,0,0,0,20.61,0.96,2.81,0,0,0.57,0,0,3.32,38.17,0,0.73,0,107.8,0,1.84,1.46,0,0,27.18,0,0,0,0,25.15,0,1.7,3.32,1.59,3.09
 96-106,0,0,0,0,3.15,2.12,2.47,38.82,3.08,1.07,0,7.88,3.64,0,1.42,0.59,0.67,0,0,0,25.25,0,1.91,1.09,68.84,1.95,0.66,2.2,0,0,9.8,0,0,0,0,1.89,4.54,0,5.39,1.22,0
108-118,0,0,0,0,8.04,2.72,1.01,59.98,0.84,0.42,4.41,16.3,1.64,0,0.62,1.24,2.37,1.5,1.5,0,30.09,0,0,1.58,90.59,0,4.34,0.88,0,1.1,13.06,0,1,0,0,1.2,0,0,11.31,1.65,12.05
120,0,0,0,0,2.07,2.8,1.58,55.1,0,0,0,52.49,4.33,0,1.06,1.65,0,3.78,0,0,43.51,1.05,0,7.65,179.2,1.18,8.01,3.89,0,5.08,3.99,0,4.85,0,0,0,0,0,6.69,3.35,0
