stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,27.77,0,0,7.65,0,0,0,0,0
 14-21,0.84,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0
 24-34,0,0.64,0.81,0.76,0,0,0,0,0.95,0,1.5,10.58,0.73,0,0,0,1.74,0,0,0
 36-46,0,0,0,0,1.03,0,0,0,1.39,0,0,2,0,0.63,0,12.69,1.88,0,0,0
 48-58,0,0.63,0,3.71,0,1.43,0,0,2.42,0,0,2.4,2.07,0.42,0,0.49,2.62,0,0,0
 60-70,0,0,0,0,0,0,0,0,2.56,0,0,6.08,0,0,0,0.58,2.33,0,0.7,0
 72-82,0,0,1.45,4.94,0,0,0,0,3.56,0.81,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.69,0,0,0,0.88,2.1,0,0,5.43,0,5.39,0,0,0,0,0,2.36
 96-106,0,1.95,0,3.13,0,0,0,0.99,12.32,3.21,0.66,6.06,0,0,0,0,0,3.17,0.94,0
108-118,0,0,0,0,0,0,0,0,6.13,2.5,0,3.81,0,0,0,0,0,0,0,0
120,0,8.09,2.37,0,0,2.33,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0
