stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mucous,neural,otic,periderm,pronephros,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0
 72-82,21.23,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0
 84-94,8.72,0,0,0,3.37,0,0,0,0,1.05,0,0,4.08,0.75,0
 96-106,31.08,0,0.64,2.03,15.47,0.91,0.86,9.95,0,2.85,0.77,6.32,3.39,4.81,0
108-118,45.06,12.29,0.52,0,8.79,0,1.46,0,1.06,0,0,0,1.38,0,0
120,64.5,0,0,0,24.98,0,0,3.84,0,15.92,0,1.68,1.47,0,1.37
