stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,92.24,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0
  5-6,6.98,179.52,0,0,0,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.69,0,9.17,0,0,0,0,40.76,0,0,0,47.36,0,0,0,0,0
 10-12,0,3.65,9.27,0,0,0,0,0,0,83.23,8.45,0,0,8.07,0,0,0,0,0
 14-21,0,0,0,1.53,0,0,0,2.58,0,3.65,0,0,0,0,0,0.84,0,1.3,0
 24-34,0,0,0,0,3.29,0,0,0.81,0.96,30.49,0,0,0,0,0,0,0.88,3.38,0.77
 36-46,0,0,0,0,2.64,0,0,1.11,0.6,6.87,0,1.01,1.43,0,0,0,0,1.75,0
 48-58,0,0,0,0,4.99,1.21,0.39,1.04,0.91,5.44,0,0,0,0,0,0,0,0.97,0
 60-70,0,0,0,0,2.32,0,0,3.31,0,2.56,0,0,0,0,0,0,0,3.02,0
 72-82,0,0,0,0,0,0,2.06,1.48,0.64,2.31,0,0.74,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.83,0,8.5,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.44,0,0.53,0,0,0,0,0,0,0,0,0
