stage,blastomeres,lateral_line,neural,notochord,otic
  3-4,9.99,0,0,0,0
  7-9,0,0,4.82,12.22,0
 10-12,0,0,9.94,0,0
 48-58,0,0,0.42,0,0
 72-82,0,0.79,0,0,3.12
 84-94,0,0,0,0,5.22
 96-106,0,1.74,0,0,7.19
108-118,0,0.82,0,0,2.22
120,0,1.77,13.61,0,30.82
