stage,endoderm,epidermis,eye,fast_muscle,glial,gut,immune,lateral_line,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0
 10-12,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.12,0,0,0,0,0,0,3.33,0
 24-34,0,0,0,0,0,0,16.22,0,0,6.61,1.03,0,0,0,0
 36-46,0,0,0,0,0,0,34.33,0,0,7.84,0,0,0,0,0
 48-58,0,0,0,0,0,0,48.68,0,0,5.5,0,0.69,0,1.47,0
 60-70,0,0,0,1.38,0,0,60.99,0,0,8.79,0,0,0,0,0
 72-82,0,0,0.82,0,0,0,77.64,0,1.03,2.58,0,0.61,0.59,0,0
 84-94,0,0,9.28,0,0,0,91.92,0,0,3.47,0,0,2.08,10.45,0
 96-106,0,0,0.67,0,1.51,0,91.94,0.71,1.41,3.36,4.74,0,0,0,0
108-118,0,3.48,1.02,0,0,0.86,127.7,0,0,1.28,0,0,0,0,2.32
120,0,0,0,0,0,0,222.65,1.69,0,6.48,0,0,0,0,0
