stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,10.56,19.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,8.59,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,32.19,0,4.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3,0,10.34,0,0,0,0,0,0
 14-21,0,0,0,2.68,12.69,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0.84,0,8.17
 24-34,0,0,0,0.69,38.13,0,0,0,0.59,1.15,0.95,1.47,0,2.74,0,2.43,0,61.88,0,0,0,0,0,0,0,307.54
 36-46,0,0,0,0,4.84,0,0,0,0,0,0,1.06,0,0.84,0,0,0,54.89,0,0,0,0,0,0,2.19,252.14
 48-58,0,0,0,0,6.31,1.88,0,3.49,0,0,0,0,0,18.36,0,0,1.4,15.52,0,0,0,0,0,0,5.24,162.38
 60-70,0,0,0,9.9,9.24,1.02,1.1,0,0,0,0,3.02,0,2.21,0,0,0.65,30.52,0,0,0,0,0,0,0,149.99
 72-82,0,0,0,0,36.89,1.28,0,0,0,0,0,13.29,0,3.26,0,0,0,0.7,0,0,0,0,0,0,0,113.64
 84-94,0,0,1.01,4.34,16.9,1.4,0,0,2.37,0,0,5.55,0.82,1.5,0,0,0.94,3.51,1.58,0,0,0,0,0,0,196.94
 96-106,0,0,0.72,1.83,35.46,0,0,0,0.7,0,0,18.23,6.05,2.07,1.15,0,0,17.32,0,0,1.05,1.55,0,0,0,257.89
108-118,0,0,0,1.35,18.31,0,0,0,0,0,0,26.64,4.19,4.02,0,0,0,4.8,0,0,0,0,4.19,0,0,265.85
120,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0,0,0,7.88,15.34,0,0,0,1.97,0,0,0,212.73
