stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.92,0,0,0,0
 10-12,4.14,0,4.33,0,0,0,0,0,0,0,0,10.1,16.06,0,0,0
 14-21,0,0.83,0,0,0,0,0,6.71,0,1.3,0,17.36,0,3.01,1.2,0
 24-34,0,0.78,0.77,0,0,0,0,0,0,0,0,8.08,0,0,0.73,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,6.73,0,0,1.52,0
 48-58,0,0,1.26,0,0,0.85,0,0,0,0.88,0.57,2.28,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.9,0.72,10.6,0,0,2.67,0
 72-82,0,0.66,0.6,0,0,0,0,0,0,0,0,2.78,0,0,0,0
 84-94,0,0,1.24,0,0,0,0,0,0,0,0,0.84,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.11,0,0,2.38,0,0,0,0
108-118,0,0,3.73,0,0,0,0.62,0,0,4,1.02,8.69,0,0,0,0
120,0,0,0,0,2.81,2.08,0,0,0,4.53,0,9.24,0,0,0,1.7
