stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.97,542.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.58,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,470.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.19,16.82,0,8.39,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.24,3.71,0,0,43.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,0,0,18.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.51,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0.93,0,0,22.48,1.84,0,0,0.88,2.35,0,0,0,0,0
 24-34,0,0,1.33,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0.94,0.91,0,0,0,0,0,0,10.33,0,0,34.09,0,0,1.01,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.86,0,5.31,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.56,0,0,0,0,7.6,0,0.38,0,0,2.45,0,5.49,0,0,0,0,5.05,0,0.49,0,0,0,14.96,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,9.5,0,0.58,0,0,4.76,0,0,1.14,5.15,258.28,0,0,0,0,57.53,15.21,1.83,5.81,0,3.71,0.56,22.78,0,0,0,0,0,7.41,0,1.92,0,0,2.89,0,0,0,0,0
 72-82,0,0,195.5,0,5.98,6.17,0,22.38,1.52,0.58,0.62,4.12,1325.68,0.87,1.21,0,2.2,129.84,14.51,0,10.81,0,0,0,164.03,0,0,9.13,0,1.67,12.93,0,0,0,0,11.2,2.32,0.51,2.1,0,0
 84-94,0,0,148.44,2.88,1.79,1.15,0,38.43,0,0.66,0,4.51,1914.93,0,3.73,0,0.64,192.77,5.04,3.63,10.74,0,0,0,55.92,0,2.91,0,0,0,21.43,0,29.06,0,0,4.15,0,0,0,0.64,0.7
 96-106,0,0,515.39,0,11.12,74.7,9.57,157.58,10.06,0.86,0,34.62,4610.36,0.61,0.74,2.64,0,253.87,182.72,0,54.22,4.27,7.72,2.86,511.54,0,3.42,0,0,0,20.27,0,16.6,0,0,6.97,8.36,0,8.93,0.67,8.21
108-118,0,0,204.98,1.96,8.56,6.05,0.47,47.84,2.28,2.79,0,27.43,3810.45,1.9,2.12,0.49,3.07,206.2,142.59,0,49.19,0,1.54,6.85,372.14,0,0.86,0.57,0,3.46,19.43,0,42.08,0,0,2.81,1.65,0,11.49,1.28,12.83
120,1.19,0,263.29,0,15.92,2.67,0,47.07,0,0,0,28.35,3996.22,0,0,0,0,265.84,47.16,0,22.43,0,0,1.51,233.81,13.85,1.26,1.59,0,0,2.53,0,2.86,0,0,0,3.57,0,0,6.55,0
