stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
  3-4,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.37,0,0,0,6.49,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.67,0,4.49,0,0
 14-21,0,2.15,0,0,0,0,0,0,0,0,0,1.82,0,27.05,0.9,0
 24-34,0,0,0,0,0,0,0,0,1.32,0.66,0,3.53,0,19.9,0.68,0
 36-46,0,1.04,0,0,0,0,0.65,0,1.45,0,3.51,40.36,0,34.83,0.66,0
 48-58,0,5.91,0,4.69,0,0.84,0,0,0,0,0.41,6.1,0,9.65,0.8,0
 60-70,0,0,0,3.41,0,0,0,0,0,4.55,0.67,10.22,0,7.22,5.29,0.61
 72-82,0,3.28,1.42,6.11,0,2.44,0,0,0.61,1.21,2.9,13.01,0,13.28,3.66,1.09
 84-94,0,9.8,0,0,0,0,2.46,0,1.54,0,6.04,0,2.73,34.01,0,7.73
 96-106,0,8.9,0,1.01,0,0,8.36,0,0.56,0,3.02,5.21,0,16.36,4.04,4.3
108-118,0,17.22,0,4.94,4.98,2.01,9.19,0,3.28,0,2.77,8.16,0,31.92,0,8.26
120,0,18.96,0,0,0,0,11.42,0,9,0,0,0,0,10,0,2.74
