stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature,xanthophores
  3-4,0,39.24,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0
 10-12,0,0,7.03,0,0,0,0,0,0,8.75,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0
 24-34,0,0,0,0,0,1.07,0.62,0.64,1.35,1.3,0,0,1.84,0,0
 36-46,0,0,0,0,0,2.18,0,1.49,0,14.18,0,0,2.61,0,0.57
 48-58,0,0,0,0,0,1.29,1.57,1.33,0,11.01,0,0,0.97,0,0
 60-70,0,0,0,0.93,0,6.09,7.4,0,0,5.52,0,0,0,1.33,0
 72-82,0,0,0,0,0,3.64,1.36,0.59,0,8.59,0,0,1.24,0,0
 84-94,0,0,0,0,0,1.54,0.8,0,0,3.38,0,0,0.94,0,0
 96-106,0,0,0,0,0,1.65,0.86,0,0,11.57,0.85,0,0.6,0,0
108-118,0,0,0,0,0.8,2.04,0,1.39,0,7.08,0,0,0,0,0
120,0,0,0,0,0,0,1.45,0,0,0,0,2.27,0,0,0
