stage,blastomeres,eye,mesenchyme,neural,notochord,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,9.54,0,0,0,0,0,0,0
 10-12,0,0,0,8.68,3.54,0,0,0
 24-34,0,0,0.78,2.07,0,0,3.66,0
 36-46,0,1.7,0,2.58,0,0,0,0
 48-58,0,1.29,0,3.33,0,0.99,0,0
 60-70,0,1.89,2.57,6.13,0,0,0,0
 72-82,0,0,0,3.4,0,0,0,0
 84-94,0,0,0,9.76,0,0,0,0
 96-106,0,7.13,0,0,0,0,0,0
108-118,0,0,0,1.19,0,0,0,0
120,0,16.1,0,24.47,0,0,0,19.49
