stage,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.3,0.83,41.39,0,1.62,0,0,5.08,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,32.91,0,1.22,0,0,2.22,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,59.12,0,0,0.37,0,6.45,0,0,0
 60-70,0,0,9.88,0,0,0,0,2.35,0,82.28,0.63,0.73,0,0,12.44,0,0,0
 72-82,0,6.24,28.36,0,0,0.61,0.53,4.96,1.41,76.59,0,5.71,0,0,18.92,0,0,1.47
 84-94,0,1.18,7.64,0,0.67,0,1.47,11.61,1.22,71.78,0,0,2.59,0,4.43,0,0,0
 96-106,0,0,6.49,2.34,0,0,2.75,7.98,0,39.73,0,4.04,3.38,0,0,0,0,0
108-118,0,0,1.49,0,0.62,0,3.26,2.09,0,70.8,0,0.64,0,0.81,2.32,1.13,1.18,0.7
120,0,0,8.34,0,0,0,4.52,0,0,90.4,0,0,0,0,0,0,0,0
