stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  5-6,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.59,0,0,5.65,0,0,0,0
 10-12,4.98,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,20.82,0,0,0,0,0,0,0
 14-21,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0.64,0
 36-46,0,0,0,0,1.31,0,0,0,0,0,0,0,2.95,0,0.58,0,0,0,0,0,0,0,0
 48-58,0,0,0.54,0,6.9,0,0,0.51,0,0,0,0,2.24,0,0.55,3.95,1.36,0,0,0,0,0.62,0
 60-70,0,0,0,0,21.17,0,0,10.18,0,0,0,0,3.84,0,0,2.23,0.98,0.73,0,0,0,0,0
 72-82,0,0,0.66,0,25.84,0,0,0.88,0,0,0,0,9.59,0,0,5.81,0,0,0,0,0,0,0
 84-94,0,0,1.47,0,84.6,0,0,0,0,3.2,0,0,6.85,1.38,0,3.55,0.63,0,0,0,0,0,0
 96-106,0,0,1.85,0,76.53,1.02,0,1.81,0,5.5,1.74,0,4.46,0,0,2.28,0,0.74,0,0,0,0,1.43
108-118,0,0,1.08,0,115.93,0,1.42,1.58,0,5.94,0,0.51,2.2,0,0,2.23,0,0,0,0,0,0,0
120,0,0,4.98,1.58,29.18,0,0,0,1.14,3.92,0,0,28.24,0,0,0,0,0,0,0,1.52,0,0
