stage,epidermis,eye,glial,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,pronephros,slow_muscle,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51
 14-21,0,0.98,0,0,0,0,0.87,0,0.89,0,0,0,0,0.95,0
 24-34,0.83,0,0,0,0,0,0,0,9.52,0,0,0,0,0,1.77
 36-46,0,5.22,0,0,0,0,0,0,8.97,5.7,2.27,0,0,0,6.1
 48-58,0,3.12,1.89,0,0,0,1.37,0.91,5.7,2.17,0,0,0,0,0
 60-70,0,14.27,0,0,0,0,3.64,0,4.76,1.56,0,0,0,0,3.44
 72-82,0,3,2.75,0,0,0,0,0,12.06,1.86,0,0,0,0,0
 84-94,0,5.78,0.56,0,0,0,5.66,0,6.08,0.73,2.03,0,0,0,0
 96-106,0,9.85,0,1.54,0,0,4.06,0,9.25,6.86,0,2.56,0,0,0
108-118,1.3,14.02,0,0.53,0.45,1.08,3.23,0,16.55,2.27,0,1.63,0,0,0
120,0,36.36,35.15,0,0,0,5.22,0,14.49,0,0,15.49,1.64,0,0
