stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,534.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.03,420.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.43,0,0,51.67,0,0,51.89,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,582.01,34.72,0,0,192.76,0,0,5.74,0,0,0,0,0,0,0,0,0
 10-12,0,32.05,0,57.08,0,0,66.6,0,0,0,0,0,14.53,0,0,0,0,0,0,0,0,0,0,860.74,34.94,0,0,282.23,0,0,0,0,27.94,0,0,5.32,0,0,0,0
 14-21,0,0,0,0.94,19.9,6.22,17.39,0,0,0,12.42,2.27,0,0,0,0,0,0,0.88,17.97,0,0,14.26,166.94,2.23,0.89,5.39,1.75,0,1.42,0,20.74,4.46,0,4.44,112.29,0,0,0,0
 24-34,0,0,0,0.77,4.93,1.93,23.19,0,0,0,11.77,0,0,1.69,2.72,0,1.07,1.41,0,23.44,0,1.21,8.79,315.49,0.75,5.73,0,0,0,2.57,0,0,2.88,0,1.32,83.54,0,4.2,0,0
 36-46,0,0,0,0,13.12,0,39.22,0,0,2.94,25.45,0,0,0,0,0,0.65,0,0,42.7,0,0.86,4.28,196.17,0,10.38,6.65,0,0,7.23,0,0,1.34,0,0,48,0,0,0,0
 48-58,0,0,0,0,3.94,0,126.36,0,0,2.3,47.34,0,0,0,4.28,0,0,0,0,34.24,0,4.82,3.14,255.4,1.41,11.33,0.42,0,0,0.48,0,0,0,0,0,59.63,0,1.29,0,0
 60-70,0,0,0.77,0,16.57,0,410.36,0,0.65,0.85,27.17,0,0,1.45,0.72,0,0.86,0.81,0.72,44.38,1.23,0.98,2.69,250.45,0,7.98,0,0,0,1.01,0,0,11.06,0,0,35.87,1.7,1.72,0,0
 72-82,0,0,2.37,0,2.51,4.78,560.26,0,0,5.77,43.41,0,0,0,5.27,0,1.83,2.79,0.64,43.86,0,0.51,2.42,210.44,0,21.39,3.75,0,1.53,1.18,0,0,0.97,0,0,14.2,0.51,3.1,2.09,8.46
 84-94,0,0,0,0,1.67,2.86,479.37,0,1.21,1.83,36.64,2.5,0,1.76,2.04,1.39,4.46,0,0,35.29,0,1.22,2.52,175.48,1.11,7.27,2.23,0,0,5.37,0,0,1.56,0,0,21.75,0,2.73,0,0
 96-106,0,0,1.17,0,4.69,4.57,329.75,1.7,0,3.48,30.34,0.6,0,0,6.25,0,1.92,0,7.05,22.29,0,0,2.2,127.4,0,15.92,10.34,0,5.51,5.7,0,0,1.06,0,0,10.35,2.87,0,0,6.59
108-118,0,0,0,0,12.83,8.54,369.08,0,0.43,0,41.26,7.44,0,0,6.15,2.02,0,0.52,0.58,47.69,0,0.49,0.56,153.57,0.46,19.18,9.22,0,1.89,8.83,0,0,0,0.46,0,11.3,1.48,0.51,0,0
120,0,0,0,0,6.59,0,399.91,0,0,0,69.76,0,0,0,1.01,1.4,0,12.94,0,43.12,0,2.61,3.79,145.37,0,9.81,11.17,0,0,6.15,0,0,0,0,0,5.28,0,0,0,0
