stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
 60-70,0,0,0,0,0.89,0,0,0,0.65,77.21,8.84,0,0.95,0,0,0,0,0,0,0,0,0,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,32.43,0,0,39,0,0,0,3.83,722.68,15.92,0,0.54,0,0,0,0,0,14.33,0,0,0,36.38,0,0,0,1.27,0,0,0,0,6.64,0,0,3.36,0,0
 84-94,0,33.01,0,0,45.47,0,0,0.91,15.61,1418.31,0,0,0,0.68,0,0,1.17,0,10.84,1.63,3.35,0,13.65,0,0,0,3.3,2.8,0,0,0,4.2,29.68,0,0.77,0,2.11
 96-106,0.95,177.25,57.54,4.11,289.27,1.55,15.54,3.93,33.78,7412.77,0,0,11.46,5.99,9.96,8.95,29.89,9.7,125.14,135.22,0.58,12.83,299.22,0.62,2.77,5.66,75.37,0,0,0,3.79,6.53,99.73,5.76,21.9,2.42,15.7
108-118,0.61,91.59,20.46,6.39,167.12,0,33.34,3.28,52.35,9768.14,0,2.8,4.86,1.39,2.75,0.7,6.67,14.86,104.59,21.36,3.45,7.14,341.12,0.44,8.19,1.43,33.58,0,0,0.42,0,12.49,320.19,0.9,17.82,7.12,10.36
120,0,78.91,0,2.35,100.5,0,4.2,0,18.56,6373.24,0,10.06,7.35,64.99,6.74,23.96,2.87,21.88,130.19,369.67,0,5.07,366.29,0,28.06,0,37.43,0,0,5.04,0,24.58,102.29,8.45,37.47,14.19,20.92
