stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.41,0,0,19.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.22,0,0,8,0,0,0,0,0,11.96,0,0,0,0,0,0,0,0,24.05,0,0,23.92,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.99,0,4.31,0,0,0,0.88,1,0,0,0,0,0,0,6.22,0,2.64,57.86,2.05,0,0,0,0,2.81,0,2.64,13.04,0,0,0,0,0
 24-34,0,0.79,0.69,0,11.95,0,0,0,1.11,0,0,0,0,0,0,0,16.55,0,7.16,43.19,0,0,0,0,0,0,0,0,5.22,0,0,2.67,0,0
 36-46,0,0,0.63,0,18.36,0,0,0,0.85,0,0,0,0,0,0,0,4.56,0,7.18,27.3,0,0,0,0,2.78,0,0,0,10.03,0,0,0,0,0
 48-58,0,0,1,0,24.97,0,0,0,2.16,0,0,0.67,0,0,0,0,17.44,1.43,3.65,26.62,0,0,0,0,0,0,0,0,2.15,0,0,0.46,0,0
 60-70,0,0,0.8,0,6.05,0,0,0,7.51,0,0,0,0,1.31,0,0,20.15,0.93,1.46,18.3,0.93,0.61,0,0,0,0,0,0,1.54,0,0.63,1.29,0,0
 72-82,0,0,1.75,0,7.28,0,0,2.25,7.82,0,0,0,0.56,0.59,0,0,105.15,1.14,2.3,25.14,1.67,0.61,0,0,0,0,0,0,0,0,0,3.72,0.57,0
 84-94,0,0,1.02,0,15.02,0.57,0,4.02,13.12,0,0,0,0,0,0,0,103.87,0.68,2.48,24.98,0,0,0,0,0.83,0,0,0,3.51,1.53,0,1.27,0,10.47
 96-106,0,0,0.71,0,14.72,0,1.68,1.37,25.1,0,0,0,0,12.88,0,0,180.78,0,1.65,35.77,0,0,0,2.2,1.37,0,0,0,0,0,2.1,1.77,0.72,10.26
108-118,0,0,1.29,0,18.17,0,0.45,3.46,34.59,0,0,0,0,8.38,2.27,2.99,172.57,6.04,4.37,57.13,0.56,4.04,0,12.07,0,0,3.18,0,0.45,0,0,1.68,1.63,1.79
120,0,0,0,14.71,12.64,0,0,7.27,24.27,0,0,0,0,10.84,0,0,289.32,3.51,1.82,127.01,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0
