stage,axial,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  7-9,4.22,0,5.35,0,0,0,0,3.6,0,0,0,0,0,29.8,3.27,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,0,0,97.64,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,0,0.85,1.27,27.46,0,0,0,0,1.59,0,3.75,25.86,2.9,5.27,0,0,29.3,0.81,98.44,0,0
 24-34,0,1.47,0,0,0,22.62,0,0,0,0.72,0,0,0.79,28.85,0,20.32,1.4,0,8.16,0.67,86.45,0,0
 36-46,0,0,0,0.73,0.65,19.4,0,0,0.93,0,0,0,0,31.9,0,17.38,0,0,9.26,0,42.74,0,0
 48-58,0,0.42,0,0,1.13,13.89,0,0,0,0,0,0,1.08,16.35,0,25.46,0,0,3.82,0,46.67,0,0
 60-70,0,1.23,0,0,3.22,8.65,0,0,0,0.77,0,0,0,15.8,0,22.05,0.62,0,6.36,0,25.08,0.63,0
 72-82,0,1.6,0,0,0,20.39,0.67,0,0,0,0,0,1.07,28.62,0.55,17.11,0.5,3.14,2.28,0,22.06,0,0
 84-94,0,2,0,0,10.34,21.9,0.84,0,0,0,0,1.25,0,9.94,0,23.79,0,0,5.79,0,17.55,0,0
 96-106,0,7.37,0,0,4.37,21.42,1.03,0,0,0,0,0,0,26.51,0,26.71,0,0,3.73,0,26.5,0,0.8
108-118,0,3.13,0,0,0,21.37,1.09,0,0,0,0,0,0,36.51,0.68,27.49,0.52,0,2.78,0,7.46,0,0
120,0,4.41,0,0,0,23.08,0,0,0,0,0,0,0,28.3,0,33.77,0,0,6.16,0,23.1,0,0
