stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,11.99,457.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
  5-6,57.76,1127.01,0,0,0,0,0,0,0,0,0,0,0,0,22.56,8.9,0,20.18,16.73,0,0,0,0,0,0,0
  7-9,12.26,37.65,27.43,0,0,94.39,0,0,9.56,0,0,0,0,0,1025.63,29.81,0,333.77,0,0,0,0,0,0,0,0
 10-12,0,8.02,0,0,0,28.61,0,0,9.58,0,0,0,0,0,755.95,13.37,0,417.27,0,3.03,0,34.05,9.49,0,0,0
 14-21,0,0,0,2.91,0.92,4.45,0,0,0,0,0,0,2.2,12.7,28.98,1.9,0.94,1.26,0,0,25.87,0,28.07,12.64,0,0
 24-34,0,0,0,0.76,0.62,1.24,0,0,0,0,0,0.64,0.63,0,16.08,0,0.74,0,0,0,0,0,3.3,1.6,2.12,1.68
 36-46,0,0,0,0,0,1.23,0.9,0,0,0,0,0,0.77,0,9.08,0,0,0,0,0,0,0,0,2.36,0,1.05
 48-58,0,0,0,0.39,0,1.93,2.51,0,0,0,0.79,0,2.85,0,9.61,0,0.93,0,0,0,0,0,0,1.69,0,0
 60-70,0,0,0,0,0,0.6,1.48,0,0,0,0,0,5.59,0,5.22,0,0,0,0,0,0,0,0,0,1.73,3.78
 72-82,0,0,0,0,0,1.63,0.9,0.64,0,0,1.36,0,1.78,0,5.49,0,0.71,0,0,0,0,0,0,0,1.47,0
 84-94,0,0,0,0,0.64,0.55,0,0.61,0,0,0,0,1.21,0,0.87,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,10.77,0,0.62,0,0,2.3,0,0,0,3.83,0,0,0,0,0,0,0,0,0,2.84,1.32
108-118,0,0,0,0,1.04,0,0,0.64,0,0.5,3.86,0,0,0.64,4.93,0,0,0,0,0,0,0,0,0,0,0.62
120,0,0,0,1.16,0,0,0,0,0,0,1.05,0,3.31,0,1.92,1.2,0,0,0,0,0,0,0,0,0,0
