stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,687.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0,0,0,0,0,0,0,0,0
  5-6,24.83,228.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,42.62,11.69,0,0,10.31,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.19,4.64,0,0,22.38,0,0,16.55,15.32,0,4.33,0,0,0,0,0
 14-21,0,0,1.9,187.38,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,0,0,1.85,31.8,0,0,0,0,0,0,0,0,0,5.5,0,0,1.08,0,0
 24-34,0,0,0,2020.4,0,0,26.02,0,31.25,0.63,1.52,0,0,2.44,0,0,0,0,0,0,78.52,29.62,0,23.43,215.04,1.32,4.57,0.68,0,0,15.95,0,1.39,0.68,27.76,0,0,4.53,0,2.53
 36-46,0,0,0,2330.2,2.51,0,17.64,0,133.63,4.6,7.4,0.95,0,0.85,0,0,0,0.68,0.66,0,140.31,14.81,0,16.47,153.54,0.56,13.57,0.65,0,0,4.81,0,0,0,29.52,0,0,3.67,0,0
 48-58,0,0,0,1993.6,1.56,0,96.43,0.46,254.35,14.99,28.65,0.91,0,0.44,0,10.28,0,0.38,0,0,796.26,22.49,0.39,7.15,225.02,5.4,11.92,0.52,0,0,7.42,0,0,0,37.42,0,0,0.59,0,11.1
 60-70,0,0,0,1316.58,12.06,0,169.03,0,165.56,24.6,24.9,0,0,0.9,0.98,2.48,0,2.32,0,0,3117.63,4.23,6.03,5.48,126.34,0,14.5,7.69,0,0,12,0,4.61,0,27.88,0,0,5.13,1.84,11.27
 72-82,0,0,0,924.57,1.26,0,162.34,0.55,126.52,34.23,90.49,0,0,2.7,0,1.29,0,0.69,4.92,0.57,4753.61,13.42,5.54,12.91,301.3,0,10.24,8.94,0,6.28,13.14,0,3.14,0,31.18,0,5.99,14.49,10.38,13.33
 84-94,0,0,0,1444.1,5.49,0,285.81,0,237,32.97,51.68,0,0,2.16,0.8,0.68,9.03,0,7.48,4.17,3992.87,10.6,3.31,10.05,207.23,0.62,11.26,6.23,0,6.33,13.89,0,0.63,0,34.97,1.99,8.5,4.34,4.15,10.61
 96-106,0,0,0,1452.42,13.38,3.84,237.96,0,195.54,30.36,73.64,4.4,0,1.5,10.36,3.4,0,5.49,13.93,4.69,3085.68,16.04,5.64,12.2,154.51,8.38,20.34,5.36,0,2.56,6.23,0,0.71,0,7.05,0.91,21.33,9.03,12.95,25.27
108-118,0,0,0,1805.2,10.04,4.79,290.36,0.47,344.89,32.07,88.72,9.31,0,0.8,4.41,10.92,12.24,0.57,10.26,9.17,3117.66,16.04,3.3,25.83,232.1,1.81,27.68,12.15,0,6.89,6.71,0,0.43,0,6.42,0,9.04,2.43,12.94,3.15
120,1.19,0,0,1533.23,19.11,0,214.77,0,284.78,44.78,91.88,9.65,0,3.83,7.03,1.48,3.33,2.39,12.19,0,4177.08,19.51,24.78,16.32,206.04,2.01,35.08,39.64,0,0,5.24,0,0,0,0,1.84,8.35,12.82,49.21,0
