stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.19,45.91,1,0,0,0,0,0,1.96,1.29,0,0,4.63,0,0,0,0,2.91,0,0,9.02,9.06,0,1.76,0.86,0,0,130.51,0,18.09,3.68,12.77,0,0,0.89,0,0
 24-34,0.68,49.68,0.87,5.52,2.28,5.91,0,0,0.74,0,6.38,5.65,20.28,0,5.34,0,0,7.81,2.29,0,7,88.54,1.44,2.23,2.03,0,0,369.76,2.04,7.94,0,30.11,0,0,4.48,0,0
 36-46,0,41.37,0,29.14,1.9,3.99,0,1.26,0,1.85,0.88,0,9.13,14.63,3.82,0.59,0,26.09,3.95,1.12,2.7,127.07,0.56,4.92,3.35,0,0,543.89,0,18.04,2.96,71.04,0,0.85,4.15,0,0
 48-58,0,26.05,0,40.6,1.86,4.84,0,14.1,0.44,0.85,0.88,0,2.31,0,2.98,0.7,0,34.94,1.57,0,1.36,125.5,0,1.79,2.17,0,0,324.91,0,10.58,0,74.2,0,0,6.8,0.78,0
 60-70,0,28.05,0.61,66.42,3.08,8.77,0,19.2,0,3.03,2.55,0,7.85,2.07,0.63,0,0,30.87,4.08,5.93,17.52,122.18,0,0.83,9.1,0,0,327.98,0.63,22.9,0,45,0,0,3.93,0.61,0
 72-82,0,68.23,0.8,52.97,0,9.43,0,40.99,1.29,1.12,1.02,0,11.35,0.73,4.85,3.01,0,73.52,2.07,7.36,7.29,95.23,0,0,5.73,1.13,0,274.8,0,2.03,0,19,1.31,1.86,15.56,6.66,11.07
 84-94,0,149.24,10.13,59.9,2.66,26.07,1.55,47.11,13.03,4.32,6.83,3.44,21.95,0,2.96,0.89,2.16,64.58,8.24,3.32,5.98,100.54,0,3.58,19.73,0,0,824.02,0.87,5.48,0,27.9,8.44,3.52,6.14,2.18,0.86
 96-106,0,183.76,0,48.27,3.95,14.65,3.29,20.37,30.2,0,2.48,5.07,22.2,9.8,10.89,1.45,0,54.88,4.14,7.75,7.58,72.42,0,7.27,1.58,0,5.34,572.51,2.16,2.71,0,11.62,7.68,0,14.45,6.44,0
108-118,0,230.41,0,34.3,3.33,23.32,0.83,32.06,13.69,0,4.19,2.99,37.99,10.77,10.39,0.56,2.1,56.76,22.38,11.02,3.08,86.95,0,2.81,10.21,0,0,499.06,0,2.08,0,2.61,15.92,0.67,7.69,6.71,5.3
120,0,215.17,12.69,47.21,8.84,26.93,1.67,16.97,3.06,0,0,0,39.87,7.41,16.54,2.58,0,29.56,5.97,0,7.05,94.61,0,4.15,1.25,0,0,289.02,0,0,0,6.32,3.1,8.11,1.62,0,0
