stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.47,5.29,63.46,11.62,20.55,0,0,0,4.11,2.96,0.81,0,0,3.16,0,0,0,0.86,18.9,0,0,13.39,323.33,6.55,5.37,6.04,1.46,0,3.48,2.01,16.8,5.44,11.55,26.68,97.74,0,0,0.89,0,0
 24-34,0,3.01,0.6,19.58,0.66,67.14,0,0,0,12.1,3.38,3.85,3.21,0.71,4.14,0,2.57,0.77,1.75,43.49,2.6,2.43,21.97,966.34,2.16,23.19,5.38,0,0,8.1,0,0,1.22,0,11.99,170.39,0,0,12.29,0,1.71
 36-46,0,0,0,5.51,1.28,90.04,0,0,0.63,32.2,0.56,0.59,0,2.43,0,0,2.94,0,4.99,36.9,0.95,0,2.37,480.74,3.73,7.41,0,0,0,19.29,0,0,0.75,0,0,103.29,0,0,1.23,0,0
 48-58,0,0.44,1.75,8.74,0.72,152.06,0,0.49,0.37,37.29,0,0,1.07,6.45,0.55,2.03,1.34,4.44,6.9,66.63,0,10.26,3.72,465.17,0,6.48,5.04,0,0.56,16.07,0,0,0,0,0,91.73,0,0,13.97,0,5.66
 60-70,0.81,2.82,0,17.1,0,277.66,0,3.74,5.99,57.56,1.69,1.75,1.67,0.72,0.64,0,2.02,0.68,0,112.2,2.07,4.01,6.65,468.8,4.06,1.02,3.5,0,0,17.04,0,0,0,0,0,69.74,0,1.72,4.97,0.64,3.51
 72-82,0,2.86,0,10.71,4.8,124.86,4.55,0.69,1.33,41.52,3.22,0,1.98,6.43,1.64,7.63,3.86,3.56,0,86.53,0.93,5.16,8.65,260.9,0,2.89,5.37,0,0,14.01,0,0,0,0,0,22.91,4.5,1.53,9.07,1.39,10.52
 84-94,0,2.22,0,15.48,3.35,79.75,0,0,0.86,34.21,5.9,1.95,2.31,5.99,4.57,2.54,4.99,0,0,60.83,0,13.53,6.42,131.43,0.7,5.65,1.92,0,0.79,16.41,0,0,0,0,0,4.73,4.35,0,5.92,2.09,0
 96-106,0,1.11,0,17.4,11.61,40.74,0,0.59,3.05,28.28,12.66,0,1.33,4.17,6.05,8.44,0,0,0.68,54.2,0,4.17,4.2,112.38,1.97,11.3,4.9,0,0,13.5,0,0,0,0,0,1.16,4.79,4.87,6.54,2,5.9
108-118,0,0.71,0,13.65,5.04,56.43,0.42,3.27,3.38,27.34,3.52,0,0,5.14,4.68,0,0,6.49,0,62.27,0.6,2.03,6.95,160.36,3.33,2.21,4.47,0,1.33,8.92,0,0,0,0,0,0.96,1.61,0.82,2.85,2.12,2.23
120,0,0,0,25.82,1.01,47.6,1.61,1.53,3.8,57.36,3.32,0,0,12.45,2.4,0,2.85,0,0,102.86,1.47,0,10.17,186.3,1.03,0,0,0,0,17.97,0,0,5.36,0,0,0,0,3.79,2.66,2.66,2.78
