stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.75,6.68,0,0,3.62,0,0,0,11.32,0,0,0,0,0,0,0,0
 14-21,0,0,3.85,0.91,0,0.8,0,1.17,0,1.25,0,2.29,0,0,0.81,0,0,0,3.43,1.99,0,0,36.22,68.46,9.71,0,0,5.4,0,0,8.8,12.65,532.1,1107.78,89.48,0,0,0.98,0,0
 24-34,0.75,0,6.78,0.8,0,19.2,308.55,0,0,15.29,0,0,3.11,3.83,6.14,0,0,11.25,0,28.97,0,0,233.77,773.06,5.3,12.32,0.85,0,0,5.89,0,20.6,361.53,727.06,393.25,0,0,3.51,0,1.41
 36-46,1.4,0.84,4.58,0.67,0,60.22,534.09,17.37,1.45,28.28,0,0,3.46,2.72,0,0,0,0.85,16.53,28.62,0,0.92,100.45,1510.43,2.93,3.83,2.77,0,0,4.07,0,2.33,268.3,27.26,468.94,0,0,3.7,0,10.17
 48-58,0,0,16.12,0,0,414.25,480.25,0.51,0.45,96.63,6.51,2.08,7.86,4.33,0.4,0,2.55,12.81,3.19,93.56,0.7,0,87.82,2279.07,14.07,5.24,0.37,0,0,11.95,0,18.31,127.08,0,466.44,0,1.45,8.79,0,21.5
 60-70,0,0,15.69,1.8,0,1088.25,339.01,2.35,0.84,207.98,6.78,1.75,1.01,0,2.91,4.25,0,0,17.36,245.23,3.03,1.68,86.21,2078.73,15.32,0.99,7.05,0,2.12,7.08,0,7.49,76.82,0,447.55,0,3.15,0,0,30.35
 72-82,1.94,0,17.17,12.26,0,1323.27,229.28,0,0.82,271.94,3.82,0,0.73,3.1,5.98,0,3.31,2.61,3.02,378.36,0,16.8,45.01,2047.96,5.41,2.34,7.41,0,0,14.93,0,21.94,56.83,0,393.47,6.46,4.32,8.72,6.13,27.77
 84-94,0,1,27.07,20.61,0,1200.24,307.27,5.58,2.12,180.59,14.01,0,0.7,0.73,6.53,4.44,3.14,2.76,16.66,384.21,0,10.87,43.39,1361.65,4.91,0.77,28.42,0,0,25.85,0,55.03,98.8,0,320.06,8.73,5.27,0,3.09,55.61
 96-106,3.53,0,18.68,36.28,0,1212.77,541.56,2.54,0,335.76,9.6,0,5.1,3.22,10.76,1.7,12.95,28.13,3.15,402.96,0,4.67,55.31,1620.27,7.93,2.56,61.69,0,10.96,40.43,0,50.04,80.06,0,259.72,6.79,11.11,3.72,9.11,40.04
108-118,0.52,0,34.24,6.68,0.82,1125.51,385.64,4.89,5.02,209.15,13.24,0,5.05,6.11,6.49,0.65,12.29,2.16,16.79,355.44,3.01,15.8,104.43,1664.79,25.71,3.34,46.46,0,5.61,16.98,0,50.45,84.1,0,176,9.87,4.68,1.92,0,104.22
120,0,0,64.81,1.75,0,1534.24,243.65,2.78,0,426.05,18.14,0,1.15,12.66,8.21,13.95,15.85,1.5,7.52,352.29,4.47,0,96.21,2747.26,13.24,26.63,51.75,0,9.21,31.11,1.12,25.56,33.17,0,156.76,6.44,0,1.59,11.82,23.12
