stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,vasculature,xanthophores
  3-4,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,7.71,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0
 10-12,0,11.21,0,0,0,0,0,0,0,0,0,0,0,6.84,11.68,0,0,0,0
 14-21,0,0,1.86,0,0,0,0,0,11.34,0,0,0,0,11.91,1.13,0,1.6,0,0
 24-34,0,0,0.65,0.83,0.73,0,0,0,67,0,0,0,0,9.14,0,0,0.86,0,1.8
 36-46,0,0,0.61,0,0.75,0,0,0,60.88,0,2.4,0,0,4.66,0,0,3.16,1.8,1.05
 48-58,0,0,0.4,0,3.33,0,0,0,66.93,0,0.66,0,0.54,11.39,0,0,0.52,0.89,0
 60-70,0,0,1.77,0,2.96,0,0,0,91.47,0,0,0.9,0,4.38,0,0,0,5.04,0
 72-82,0,0,0,1.98,2.12,3.39,4.66,0,83.28,0,1.72,0,0.63,3.82,0,0,0,6.21,0
 84-94,0,0,0,2.06,18.95,0,0,0,155.89,1.66,3.8,0,0,0,0,0,0,9.96,0
 96-106,0,0,0,0,0.91,0,5.68,0.97,156.29,0,5.49,0,0,0.62,0,0,0,13.14,0
108-118,0,0,0,5.99,1.82,0,1.79,0,161.74,0.43,1.56,0,0,8.47,0,0.58,0.44,9.69,0
120,0,0,0,9.65,0,0,0,0,228.2,0,9.5,0,1.39,0,3.25,0,0,17.88,0
