stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,27.53,0,0,0,30.72,0,0,0,0,0,0,0,0,0,0
 10-12,9.56,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,203.27,0,0,0,34.21,0,0,0,0,0,4.51,0,0,0,0
 14-21,0,0,0,0,0,0,2.05,0,0,0,0,1.81,0,0,5.14,151.68,0,1.55,1.59,0,0,0,0.89,0,1.86,127.58,0,0,0,0
 24-34,0,0,5.91,0,5.59,0.63,2.66,0,0,0,0,11.25,0,0,0.6,199.65,0,0,0,0,0,1.56,0,0.79,1.01,115.21,0,0,0,0
 36-46,0,0,0.57,1.83,3.69,0,10.05,0,0,0,0,19.31,0,0,0,90.67,0,0,0,0,0,0,0,0,0,92.77,0,0,0,0
 48-58,0,0.45,0.46,4.64,2.36,0.43,11.54,0.92,0,0,0.49,39.59,0,3.83,0.91,90.16,0,1.03,12.37,0,1.01,1.24,0,0,0,47.42,0,0,0,0
 60-70,0,0,3.04,11.89,1.57,0,23.86,2.66,0,0,1.26,53.97,0,8.07,5.16,110.06,0,6.66,7.16,0,2.06,0,0,0,0,26.54,0,2.71,0,0.73
 72-82,0,0,1.61,15.38,2.88,0,25.81,2.24,0,0,1.82,117.34,0,19,2.85,81.6,0,4.47,5.53,0,0,0,0,0,0,10.73,1.48,5.88,0,11.59
 84-94,0,0,1.78,24,0.56,0,25.86,0.83,0,0,1.5,67.64,0,0.85,0,65.17,0,2.94,7.16,0,0,0,0,0,0,6.89,2.32,0,1.29,15.38
 96-106,0,0,3.12,12.24,0.96,0,24.28,0,0,0,9.81,46,0,4.2,0,77.26,0,2.11,19.08,0,2.28,3.18,0,0,0,0,2.01,1.5,0,18.56
108-118,0,0,4.44,10.2,1.51,0.79,35.13,1.44,0,0.54,5.52,34.88,0,4.88,5.46,69.34,0,2.12,18.01,0,0,2.86,0,1.54,0,0,25.95,1.98,0,11.32
120,0,0,6.44,47.37,2.64,0,45.95,1.38,0,0,7.58,119.78,1.69,6.16,3.2,95.58,2.47,4.35,18.64,0,25.18,1.88,0,0,0,0,5.73,0,0,2.27
